# Wavelength[nm] MITSuME_g MITSuME_Rc MITSuME_Ic 2MASS_J IRSF_J IRSF_H IRSF_Ks
350 0 0 0 0 0 0 0
351 0 0 0 0 0 0 0
352 0 0 0 0 0 0 0
353 0 0 0 0 0 0 0
354 0 0 0 0 0 0 0
355 0 0 0 0 0 0 0
356 0 0 0 0 0 0 0
357 0 0 0 0 0 0 0
358 0 0 0 0 0 0 0
359 0 0 0 0 0 0 0
360 0 0 0 0 0 0 0
361 0 0 0 0 0 0 0
362 0 0 0 0 0 0 0
363 0 0 0 0 0 0 0
364 0 0 0 0 0 0 0
365 0 0 0 0 0 0 0
366 0 0 0 0 0 0 0
367 0 0 0 0 0 0 0
368 0 0 0 0 0 0 0
369 0 0 0 0 0 0 0
370 0 0 0 0 0 0 0
371 0 0 0 0 0 0 0
372 0 0 0 0 0 0 0
373 0 0 0 0 0 0 0
374 0 0 0 0 0 0 0
375 0 0 0 0 0 0 0
376 0 0 0 0 0 0 0
377 0 0 0 0 0 0 0
378 0 0 0 0 0 0 0
379 0 0 0 0 0 0 0
380 0 0 0 0 0 0 0
381 0 0 0 0 0 0 0
382 0 0 0 0 0 0 0
383 0 0 0 0 0 0 0
384 0 0 0 0 0 0 0
385 0 0 0 0 0 0 0
386 0 0 0 0 0 0 0
387 0 0 0 0 0 0 0
388 0.001 0 0 0 0 0 0
389 0.003 0 0 0 0 0 0
390 0.006 0 0 0 0 0 0
391 0.011 0 0 0 0 0 0
392 0.02 0 0 0 0 0 0
393 0.032 0 0 0 0 0 0
394 0.048 0 0 0 0 0 0
395 0.065 0 0 0 0 0 0
396 0.085 0 0 0 0 0 0
397 0.104 0 0 0 0 0 0
398 0.122 0 0 0 0 0 0
399 0.138 0 0 0 0 0 0
400 0.151 0 0 0 0 0 0
401 0.158 0 0 0 0 0 0
402 0.164 0 0 0 0 0 0
403 0.169 0 0 0 0 0 0
404 0.173 0 0 0 0 0 0
405 0.175 0 0 0 0 0 0
406 0.175 0 0 0 0 0 0
407 0.173 0 0 0 0 0 0
408 0.171 0 0 0 0 0 0
409 0.168 0 0 0 0 0 0
410 0.165 0 0 0 0 0 0
411 0.167 0 0 0 0 0 0
412 0.171 0 0 0 0 0 0
413 0.176 0 0 0 0 0 0
414 0.182 0 0 0 0 0 0
415 0.188 0 0 0 0 0 0
416 0.194 0 0 0 0 0 0
417 0.198 0 0 0 0 0 0
418 0.201 0 0 0 0 0 0
419 0.203 0 0 0 0 0 0
420 0.205 0 0 0 0 0 0
421 0.208 0 0 0 0 0 0
422 0.214 0 0 0 0 0 0
423 0.221 0 0 0 0 0 0
424 0.23 0 0 0 0 0 0
425 0.24 0 0 0 0 0 0
426 0.251 0 0 0 0 0 0
