# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6527.266022 1.025469 0.003700 1.4530 1614.7 2.011 -0.268 h130822_0261
6527.266224 1.024346 0.003700 1.4516 1622.8 -2.016 0.459 h130822_0262
6527.266428 1.024645 0.003691 1.4503 1617.2 2.031 -0.411 h130822_0263
6527.266665 1.024152 0.003677 1.4486 1599.1 -2.024 0.448 h130822_0264
6527.266898 1.025472 0.003677 1.4471 1588.5 1.717 -0.200 h130822_0265
6527.267118 1.024589 0.002756 1.4456 1576.3 1.885 -0.114 h130822_0266
6527.267335 1.025394 0.003665 1.4441 1566.3 -1.121 -0.037 h130822_0267
6527.267538 1.023238 0.003649 1.4428 1558.0 -1.526 -0.094 h130822_0268
6527.267739 1.022470 0.003635 1.4414 1552.9 2.476 -0.052 h130822_0269
6527.267942 1.021544 0.003631 1.4401 1541.3 -0.706 0.387 h130822_0270
6527.268159 1.021431 0.003622 1.4386 1539.9 -0.723 0.020 h130822_0271
6527.268361 1.017342 0.003605 1.4373 1544.7 -0.657 -0.397 h130822_0272
6527.268580 1.019409 0.003610 1.4359 1542.1 -0.834 0.981 h130822_0273
6527.268783 1.019366 0.003605 1.4345 1534.5 -0.847 -0.366 h130822_0274
6527.268995 1.017057 0.003598 1.4332 1536.1 -0.809 0.335 h130822_0275
6527.269196 1.017744 0.003591 1.4319 1532.9 -1.021 -0.195 h130822_0276
6527.269399 1.019528 0.003596 1.4305 1531.7 -0.853 -0.154 h130822_0277
6527.269617 1.014568 0.003573 1.4291 1523.8 -0.736 0.294 h130822_0278
6527.269817 1.015677 0.003575 1.4279 1519.6 -0.786 0.413 h130822_0279
6527.270031 1.015372 0.003569 1.4265 1508.3 -0.708 0.005 h130822_0280
6527.270232 1.017233 0.003571 1.4252 1497.1 -0.759 0.180 h130822_0281
6527.270450 1.013734 0.003550 1.4238 1491.3 -0.312 0.200 h130822_0282
6527.270649 1.014600 0.003550 1.4225 1478.6 -0.342 -0.282 h130822_0283
6527.270848 1.014083 0.003545 1.4213 1478.2 -0.364 -0.198 h130822_0284
6527.271047 1.008309 0.003513 1.4200 1474.5 -0.435 0.245 h130822_0285
6527.271246 1.012675 0.003531 1.4188 1474.1 -0.446 -0.422 h130822_0286
6527.271464 1.013115 0.003531 1.4174 1466.3 -0.580 0.649 h130822_0287
6527.271666 1.010878 0.003516 1.4162 1462.1 -0.499 -0.279 h130822_0288
6527.271867 1.008567 0.003508 1.4149 1455.4 -0.332 -0.304 h130822_0289
6527.272090 1.009790 0.003504 1.4135 1451.8 -0.585 -0.317 h130822_0290
6527.272309 1.006784 0.003483 1.4122 1449.8 -0.249 -0.175 h130822_0291
6527.272510 1.008193 0.003492 1.4110 1451.3 -0.053 -0.171 h130822_0292
6527.272727 1.009585 0.003490 1.4096 1448.4 -0.330 0.167 h130822_0293
6527.272927 1.005828 0.003472 1.4084 1440.6 0.101 -0.337 h130822_0294
6527.273126 1.007727 0.003472 1.4072 1432.3 0.156 -0.298 h130822_0295
6527.273326 1.006903 0.003469 1.4060 1420.8 0.043 -0.132 h130822_0296
6527.273525 1.006764 0.003460 1.4048 1415.7 0.435 -0.375 h130822_0297
6527.273728 1.006922 0.003460 1.4036 1424.4 0.334 -0.176 h130822_0298
6527.273927 1.004547 0.003458 1.4024 1429.1 0.265 -0.527 h130822_0299
6527.274129 1.005594 0.003462 1.4012 1429.2 0.480 -0.560 h130822_0300
6527.274345 1.002042 0.003442 1.3999 1422.0 0.446 0.053 h130822_0301
6527.274546 1.003822 0.003444 1.3987 1417.6 0.783 0.132 h130822_0302
6527.274746 1.003263 0.003435 1.3975 1412.1 0.370 0.292 h130822_0303
6527.274945 1.001010 0.003418 1.3964 1408.8 0.534 -0.263 h130822_0304
6527.275145 1.003684 0.003432 1.3952 1408.4 0.945 -0.613 h130822_0305
6527.275346 1.003559 0.003425 1.3940 1400.3 1.018 0.535 h130822_0306
6527.275555 1.003914 0.003419 1.3928 1397.2 1.194 -0.132 h130822_0307
6527.275757 1.001165 0.003405 1.3916 1393.5 0.999 0.273 h130822_0308
6527.275957 1.001097 0.003400 1.3905 1389.5 1.368 -0.038 h130822_0309
6527.276161 1.001218 0.003398 1.3893 1381.8 1.110 0.007 h130822_0310
6527.276361 1.000951 0.003393 1.3882 1375.2 1.179 0.152 h130822_0311
6527.276569 1.002191 0.003395 1.3870 1371.0 0.999 0.363 h130822_0312
6527.276770 1.002173 0.003388 1.3858 1365.4 1.362 0.329 h130822_0313
6527.276980 0.999884 0.003370 1.3846 1359.5 1.377 -0.494 h130822_0314
6527.277180 0.998589 0.003368 1.3835 1360.2 1.292 0.757 h130822_0315
6527.277390 1.001159 0.003377 1.3823 1359.4 1.428 -0.331 h130822_0316
