# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6573.245892 1.004909 0.002290 1.1582 469.2 0.000 0.000 j131007_0131
6573.246695 1.001186 0.002320 1.1583 459.8 1.518 1.021 j131007_0134
6573.246958 1.007164 0.002332 1.1584 458.3 1.320 1.187 j131007_0135
6573.247232 1.004166 0.002332 1.1584 458.7 1.191 1.631 j131007_0136
6573.247494 1.005407 0.002318 1.1585 453.8 1.343 1.582 j131007_0137
6573.247765 1.003606 0.002316 1.1586 449.5 1.243 0.014 j131007_0138
6573.248029 1.004490 0.002318 1.1586 448.6 1.203 2.387 j131007_0139
6573.248293 1.004598 0.002318 1.1587 446.3 1.076 2.029 j131007_0140
6573.248556 1.007275 0.002320 1.1588 440.5 1.118 0.810 j131007_0141
6573.248818 1.010811 0.002334 1.1589 437.6 2.091 1.321 j131007_0142
6573.249089 1.008988 0.002316 1.1590 433.2 -1.548 1.404 j131007_0143
6573.249352 1.010185 0.002316 1.1590 430.8 2.694 -0.247 j131007_0144
6573.249623 1.007835 0.002320 1.1591 433.5 -0.895 2.759 j131007_0145
6573.249919 1.005514 0.002312 1.1593 435.0 -0.962 1.313 j131007_0146
6573.250181 1.007356 0.002313 1.1593 429.4 -1.299 1.886 j131007_0147
6573.250442 1.005361 0.002334 1.1595 424.0 1.776 1.160 j131007_0148
6573.250706 1.007603 0.002313 1.1596 418.2 2.460 1.435 j131007_0149
6573.250970 1.003960 0.002301 1.1597 412.6 -0.247 0.907 j131007_0150
6573.251241 1.003902 0.002304 1.1598 407.5 -1.189 1.329 j131007_0151
6573.251507 1.000923 0.002299 1.1599 408.4 -1.375 1.362 j131007_0152
6573.251795 1.003958 0.002304 1.1600 406.7 2.561 1.051 j131007_0153
6573.252057 1.014726 0.002329 1.1601 405.6 -2.034 1.945 j131007_0154
6573.252329 0.999955 0.002306 1.1603 410.6 2.003 1.859 j131007_0155
6573.252616 1.005760 0.002306 1.1604 417.6 2.020 1.292 j131007_0156
6573.252895 1.008621 0.002312 1.1605 420.9 1.850 0.236 j131007_0157
6573.253165 0.999819 0.002308 1.1607 415.5 0.964 3.008 j131007_0158
6573.253427 1.005410 0.004278 1.1608 415.8 0.528 0.904 j131007_0159
