# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6573.245892 1.007842 0.004227 1.1582 3937.8 -0.454 -1.248 k131007_0131
6573.246162 1.010363 0.004241 1.1582 3945.3 0.377 0.260 k131007_0132
6573.246424 1.008430 0.004193 1.1583 3949.1 1.185 -1.405 k131007_0133
6573.246695 1.008781 0.004200 1.1583 3955.4 1.026 -0.333 k131007_0134
6573.246958 1.009639 0.004210 1.1584 3961.3 0.851 -0.111 k131007_0135
6573.247232 1.008105 0.004228 1.1584 3959.7 0.718 0.375 k131007_0136
6573.247494 1.007834 0.004162 1.1585 3960.2 0.835 0.284 k131007_0137
6573.247765 1.009999 0.004188 1.1586 3956.4 0.780 -1.268 k131007_0138
6573.248029 1.008487 0.004181 1.1586 3948.3 0.728 1.168 k131007_0139
6573.248293 1.011101 0.004196 1.1587 3947.8 0.594 0.750 k131007_0140
6573.248556 1.013328 0.004197 1.1588 3939.0 0.610 -0.488 k131007_0141
6573.248818 1.010943 0.004217 1.1589 3934.8 1.642 0.096 k131007_0142
6573.249089 1.011612 0.004166 1.1590 3931.7 -2.014 0.079 k131007_0143
6573.249352 1.013587 0.004175 1.1590 3933.7 2.197 -1.549 k131007_0144
6573.249623 1.005501 0.004178 1.1591 3937.6 -1.308 1.417 k131007_0145
6573.249919 1.009937 0.004178 1.1593 3942.9 -1.482 0.041 k131007_0146
6573.250181 1.004741 0.004169 1.1593 3935.5 -1.747 0.607 k131007_0147
6573.250442 1.005862 0.004264 1.1595 3929.5 1.325 -0.206 k131007_0148
6573.250706 1.008603 0.004178 1.1596 3917.2 1.930 0.139 k131007_0149
6573.250970 1.006534 0.004157 1.1597 3910.5 -0.731 -0.427 k131007_0150
6573.251241 1.006673 0.004185 1.1598 3911.9 -1.651 0.020 k131007_0151
6573.251507 1.008831 0.004202 1.1599 3912.4 -1.762 0.009 k131007_0152
6573.251795 1.004515 0.004173 1.1600 3912.3 2.115 -0.329 k131007_0153
6573.252057 1.018696 0.004257 1.1601 3915.7 -2.496 0.584 k131007_0154
6573.252329 1.009794 0.004227 1.1603 3926.3 1.510 0.502 k131007_0155
6573.252616 1.014039 0.004193 1.1604 3934.6 1.477 -0.018 k131007_0156
6573.252895 1.009938 0.004154 1.1605 3943.0 1.284 -1.042 k131007_0157
6573.253165 1.001751 0.004209 1.1607 3947.7 0.493 1.672 k131007_0158
6573.253427 1.016845 0.004324 1.1608 3946.5 0.172 -0.452 k131007_0159
6573.253688 1.006619 0.004196 1.1609 3941.7 0.757 -0.935 k131007_0160
6573.253949 1.008433 0.004200 1.1611 3936.0 0.329 0.459 k131007_0161
6573.254210 1.002230 0.004272 1.1612 3933.3 -1.655 1.156 k131007_0162
6573.254471 1.005958 0.004306 1.1614 3928.3 4.093 0.297 k131007_0163
6573.254741 1.003819 0.004311 1.1615 3926.8 -0.652 0.358 k131007_0164
6573.255001 1.012455 0.004204 1.1617 3929.4 1.147 -0.636 k131007_0165
6573.255283 1.014788 0.004192 1.1618 3931.3 -0.203 0.185 k131007_0166
6573.255543 1.010157 0.004183 1.1620 3937.8 0.057 -0.284 k131007_0167
6573.255803 1.011475 0.004185 1.1622 3943.0 0.099 0.024 k131007_0168
6573.256064 1.011223 0.004188 1.1623 3945.6 0.109 -0.069 k131007_0169
6573.256325 1.010330 0.004185 1.1625 3951.3 0.337 0.056 k131007_0170
6573.256586 1.009461 0.004166 1.1627 3945.8 -0.160 -0.133 k131007_0171
6573.256847 1.008452 0.004158 1.1628 3947.4 -0.238 0.178 k131007_0172
6573.257108 1.004814 0.004154 1.1630 3944.0 -0.241 0.139 k131007_0173
6573.257368 1.000915 0.004228 1.1632 3950.0 -0.401 0.365 k131007_0174
6573.257629 1.004589 0.004297 1.1634 3947.0 -2.190 2.515 k131007_0175
6573.257891 1.009855 0.004254 1.1636 3944.9 2.108 -1.927 k131007_0176
6573.258154 1.009026 0.004293 1.1638 3943.8 -1.345 1.200 k131007_0177
6573.258432 1.010211 0.004141 1.1640 3937.3 -2.001 -2.929 k131007_0178
6573.258704 1.007974 0.004166 1.1642 3935.4 2.303 0.325 k131007_0179
6573.258976 1.004792 0.004188 1.1644 3937.3 -1.590 0.844 k131007_0180
6573.259248 1.007014 0.004161 1.1646 3943.4 -1.563 -1.554 k131007_0181
6573.259510 1.007603 0.004183 1.1648 3942.5 -1.524 0.718 k131007_0182
6573.260057 1.010709 0.004165 1.1652 3951.7 -0.936 0.381 k131007_0184
6573.260346 1.007556 0.004157 1.1655 3956.7 -0.616 -1.710 k131007_0185
6573.260608 1.006118 0.004173 1.1657 3958.9 -0.440 0.776 k131007_0186
6573.260871 1.006793 0.004171 1.1659 3958.6 -0.721 0.373 k131007_0187
6573.261131 1.009257 0.004162 1.1662 3954.0 -1.056 -0.071 k131007_0188
6573.261393 1.009315 0.004161 1.1664 3944.3 -0.691 0.633 k131007_0189
6573.261657 1.011460 0.004175 1.1666 3935.1 -0.609 -1.016 k131007_0190
6573.261919 1.009195 0.004157 1.1668 3919.5 -1.548 0.501 k131007_0191
6573.262183 1.011487 0.004183 1.1671 3910.7 -0.974 -0.776 k131007_0192
6573.262445 1.009363 0.004162 1.1673 3912.8 -0.554 -0.327 k131007_0193
6573.262703 1.008883 0.004161 1.1676 3915.0 -0.843 0.736 k131007_0194
6573.262966 1.004130 0.004144 1.1678 3916.1 -0.333 -1.097 k131007_0195
6573.263227 1.007368 0.004175 1.1681 3916.2 -0.111 0.014 k131007_0196
6573.263488 1.008160 0.004148 1.1683 3917.4 0.018 -0.044 k131007_0197
6573.263748 1.005331 0.004154 1.1686 3918.5 0.235 -0.006 k131007_0198
6573.264009 0.999907 0.004148 1.1689 3921.7 -0.174 -1.305 k131007_0199
6573.264271 1.011974 0.004192 1.1691 3927.3 -0.548 0.227 k131007_0200
6573.264532 1.011557 0.004193 1.1694 3923.7 -0.150 -0.205 k131007_0201
6573.264791 1.010978 0.004166 1.1697 3913.1 -0.187 -0.310 k131007_0202
6573.265051 1.010498 0.004162 1.1699 3908.1 0.250 -0.196 k131007_0203
6573.265312 1.007331 0.004137 1.1702 3897.2 0.039 -0.376 k131007_0204
6573.265574 1.006957 0.004131 1.1705 3891.2 0.321 -0.210 k131007_0205
6573.265835 1.007811 0.004140 1.1708 3897.1 0.060 -0.199 k131007_0206
6573.266098 1.013011 0.004171 1.1711 3901.4 -0.186 -0.555 k131007_0207
6573.266358 1.006398 0.004148 1.1713 3894.9 1.093 -1.005 k131007_0208
6573.266621 1.008485 0.004161 1.1717 3886.9 1.147 -0.259 k131007_0209
6573.266882 1.009642 0.004154 1.1720 3882.4 0.458 -0.332 k131007_0210
6573.267144 1.010158 0.004154 1.1723 3880.8 0.653 -0.105 k131007_0211
6573.267405 1.010903 0.004161 1.1725 3876.2 1.168 -0.538 k131007_0212
6573.267675 1.009195 0.004157 1.1729 3870.0 0.886 0.270 k131007_0213
6573.268203 1.011783 0.004144 1.1735 3880.1 -2.219 0.169 k131007_0215
6573.268473 1.006742 0.004148 1.1738 3869.7 1.487 0.337 k131007_0216
6573.268743 1.010897 0.004166 1.1742 3868.3 1.679 -0.810 k131007_0217
6573.269013 1.011721 0.004165 1.1745 3867.8 -1.395 -0.139 k131007_0218
6573.269276 1.005798 0.004126 1.1748 3871.8 -1.110 0.250 k131007_0219
6573.269540 1.010211 0.004141 1.1751 3866.0 -0.436 -0.849 k131007_0220
6573.269804 1.013536 0.004209 1.1755 3869.5 -1.253 0.621 k131007_0221
6573.270084 1.008847 0.004171 1.1759 3862.9 -0.409 -0.004 k131007_0222
6573.270344 1.014336 0.004178 1.1762 3857.5 -1.129 -0.758 k131007_0223
6573.270608 1.014621 0.004173 1.1765 3859.4 -0.377 -0.034 k131007_0224
6573.270868 1.007327 0.004131 1.1769 3855.3 -0.524 -0.444 k131007_0225
6573.271131 1.007390 0.004130 1.1772 3851.5 0.030 0.002 k131007_0226
6573.271392 1.009587 0.004148 1.1776 3847.7 -0.099 -0.021 k131007_0227
6573.271652 1.009667 0.004165 1.1780 3849.8 0.084 -0.028 k131007_0228
6573.271911 1.009938 0.004154 1.1783 3842.8 0.884 -0.654 k131007_0229
6573.272181 1.003907 0.004114 1.1787 3849.3 0.741 -0.165 k131007_0230
6573.272444 1.004858 0.004131 1.1790 3849.4 0.685 -0.764 k131007_0231
6573.272706 1.008415 0.004183 1.1794 3849.7 0.716 1.065 k131007_0232
6573.272970 1.009454 0.004169 1.1798 3849.4 0.963 -0.437 k131007_0233
6573.273232 1.006776 0.004150 1.1802 3846.1 1.224 -0.476 k131007_0234
6573.273495 1.010863 0.004145 1.1806 3838.7 0.488 0.571 k131007_0235
6573.273756 1.009176 0.004135 1.1809 3832.5 1.696 -0.406 k131007_0236
6573.274027 1.007903 0.004157 1.1813 3826.7 -1.716 0.115 k131007_0237
6573.274291 1.007146 0.004126 1.1817 3821.3 1.647 0.095 k131007_0238
6573.274554 1.005307 0.004123 1.1821 3819.5 -0.527 -0.541 k131007_0239
6573.274817 1.013140 0.004152 1.1825 3814.8 -0.610 -0.382 k131007_0240
6573.275079 1.008193 0.004130 1.1829 3816.1 -1.118 0.821 k131007_0241
6573.275342 1.002717 0.004105 1.1833 3819.2 -1.538 -0.297 k131007_0242
6573.275604 1.006641 0.004121 1.1838 3819.7 -1.175 -0.344 k131007_0243
6573.275876 1.005891 0.004105 1.1842 3819.6 -0.680 -0.093 k131007_0244
6573.276136 1.012874 0.004166 1.1846 3827.9 -0.784 0.071 k131007_0245
6573.276398 1.009671 0.005873 1.1850 3824.6 -1.758 -0.005 k131007_0246
6573.276661 1.011082 0.004141 1.1854 3821.0 2.846 -0.016 k131007_0247
6573.276931 1.011078 0.004130 1.1859 3815.2 -0.160 -0.155 k131007_0248
6573.277192 1.013951 0.004148 1.1863 3813.1 0.288 -0.067 k131007_0249
6573.277452 1.008363 0.004121 1.1867 3810.0 0.300 -0.318 k131007_0250
6573.277712 1.013679 0.004137 1.1872 3801.9 0.250 -0.979 k131007_0251
6573.277975 1.010273 0.004135 1.1876 3794.9 -0.368 1.019 k131007_0252
6573.278238 1.009015 0.004117 1.1881 3789.3 -0.150 -0.447 k131007_0253
6573.278498 1.010341 0.004130 1.1885 3782.2 0.481 -0.541 k131007_0254
6573.278763 1.009391 0.004130 1.1890 3781.9 0.556 -0.392 k131007_0255
6573.279026 1.010208 0.004123 1.1894 3783.8 0.013 0.416 k131007_0256
6573.279289 1.009386 0.004130 1.1899 3786.5 0.634 0.085 k131007_0257
6573.279550 1.009557 0.004119 1.1903 3792.4 0.598 -0.456 k131007_0258
6573.279813 1.010898 0.004130 1.1908 3793.6 0.546 0.008 k131007_0259
6573.280073 1.014632 0.004162 1.1913 3790.9 0.958 0.099 k131007_0260
6573.280344 1.007264 0.005308 1.1918 3789.2 1.251 -0.392 k131007_0261
6573.280612 1.005371 0.004102 1.1922 3791.1 0.812 0.073 k131007_0262
6573.280876 1.011713 0.004127 1.1927 3784.3 0.862 -0.102 k131007_0263
6573.281137 1.010494 0.004131 1.1932 3776.4 1.267 0.349 k131007_0264
6573.281399 1.011739 0.004152 1.1937 3762.0 1.476 -0.200 k131007_0265
6573.281663 1.010069 0.004119 1.1942 3744.7 1.484 0.018 k131007_0266
6573.281925 1.009128 0.004144 1.1947 3740.3 2.114 -0.371 k131007_0267
6573.282189 1.013067 0.004150 1.1952 3736.3 -1.199 -0.294 k131007_0268
6573.282451 1.008627 0.004126 1.1957 3728.0 -1.558 -0.046 k131007_0269
6573.282715 1.006860 0.004113 1.1962 3726.7 -1.625 0.844 k131007_0270
6573.282987 1.005454 0.004096 1.1967 3727.3 -1.485 0.140 k131007_0271
6573.283248 1.008017 0.004119 1.1972 3733.2 -1.671 0.374 k131007_0272
6573.283510 1.004970 0.004102 1.1977 3745.0 -1.504 -0.683 k131007_0273
6573.283789 1.004464 0.004154 1.1983 3751.3 -2.056 0.642 k131007_0274
6573.284053 1.005147 0.004183 1.1988 3763.9 1.113 1.102 k131007_0275
6573.284315 1.004011 0.004141 1.1993 3771.9 1.697 -1.458 k131007_0276
6573.284587 1.008606 0.004181 1.1999 3770.0 -1.395 -0.852 k131007_0277
6573.284850 0.999926 0.004152 1.2004 3763.6 -1.516 0.173 k131007_0278
6573.285114 1.006984 0.004148 1.2010 3760.2 -0.790 -0.296 k131007_0279
6573.285377 0.997291 0.004123 1.2015 3754.1 -1.166 -0.409 k131007_0280
6573.285637 1.003265 0.004154 1.2021 3746.4 -1.882 1.052 k131007_0281
6573.285901 0.997542 0.004119 1.2026 3740.7 1.943 0.206 k131007_0282
6573.286165 1.000074 0.004148 1.2032 3740.1 -0.549 -0.655 k131007_0283
6573.286428 0.995726 0.004134 1.2037 3736.7 -1.324 0.837 k131007_0284
6573.286691 1.003097 0.004150 1.2043 3742.8 -1.370 -0.706 k131007_0285
6573.286952 0.996160 0.004102 1.2048 3743.5 -0.512 -1.056 k131007_0286
6573.287216 1.000416 0.004113 1.2054 3738.2 -1.053 -0.020 k131007_0287
6573.287479 0.996317 0.004088 1.2060 3739.4 -1.362 -0.556 k131007_0288
6573.287740 0.996493 0.004110 1.2066 3740.9 -0.463 -0.649 k131007_0289
6573.288003 0.992305 0.004082 1.2071 3733.9 -0.637 0.575 k131007_0290
6573.288266 0.997182 0.004110 1.2077 3733.5 -0.387 -0.185 k131007_0291
6573.288526 0.996202 0.004137 1.2083 3733.5 -0.949 -0.226 k131007_0292
6573.288788 0.991754 0.004105 1.2089 3731.1 -1.366 0.422 k131007_0293
6573.289050 0.990497 0.004095 1.2095 3735.0 -1.268 -0.569 k131007_0294
6573.289312 0.994845 0.004121 1.2101 3733.2 -0.572 -0.566 k131007_0295
6573.289576 0.991649 0.004126 1.2107 3732.1 -0.505 1.183 k131007_0296
6573.290100 0.990099 0.004092 1.2119 3730.6 -0.607 -1.673 k131007_0298
6573.290364 0.993140 0.004117 1.2125 3728.9 -1.188 -0.484 k131007_0299
6573.290628 0.982379 0.004051 1.2132 3735.9 -1.250 -0.100 k131007_0300
6573.290891 0.985607 0.004078 1.2138 3731.7 -0.909 -0.010 k131007_0301
6573.291152 0.988989 0.004092 1.2144 3727.2 -1.022 -0.581 k131007_0302
6573.291414 0.988738 0.004088 1.2150 3728.2 -0.435 0.184 k131007_0303
6573.291677 0.992982 0.004123 1.2157 3728.0 -0.692 -0.473 k131007_0304
6573.291937 0.985061 0.004074 1.2163 3715.1 -0.819 -0.366 k131007_0305
6573.292201 0.982289 0.004074 1.2169 3714.2 -0.412 -0.231 k131007_0306
6573.292463 0.981970 0.004058 1.2176 3709.4 -0.473 0.569 k131007_0307
6573.292723 0.983790 0.004069 1.2182 3700.1 -0.979 0.024 k131007_0308
6573.292985 0.979746 0.004040 1.2189 3695.7 -1.093 -0.555 k131007_0309
6573.294174 0.978072 0.004023 1.2219 3684.1 -0.864 -1.099 k131007_0310
6573.294436 0.982643 0.004097 1.2226 3693.7 -0.919 0.430 k131007_0311
6573.294697 0.984337 0.004110 1.2232 3699.5 -1.566 0.018 k131007_0312
6573.294961 0.979784 0.004113 1.2239 3697.7 -0.524 0.117 k131007_0313
6573.295221 0.979920 0.004106 1.2246 3700.5 -1.129 -0.906 k131007_0314
6573.295483 0.985503 0.004162 1.2253 3690.7 0.028 -0.518 k131007_0315
6573.295744 0.984376 0.004097 1.2260 3686.9 -0.552 -1.119 k131007_0316
6573.296009 0.985539 0.004097 1.2267 3681.8 0.041 0.125 k131007_0317
6573.296272 0.982626 0.004086 1.2274 3679.6 0.256 -0.018 k131007_0318
6573.296532 0.985439 0.004137 1.2281 3684.1 -0.540 0.022 k131007_0319
6573.296793 0.979797 0.004126 1.2288 3675.5 -0.952 -0.502 k131007_0320
6573.298024 0.971303 0.004113 1.2322 3643.2 0.007 0.874 k131007_0321
6573.298288 0.980691 0.004095 1.2329 3647.4 -0.025 -1.497 k131007_0322
6573.298552 0.978342 0.004134 1.2337 3655.6 -0.084 0.482 k131007_0323
6573.298812 0.985021 0.004169 1.2344 3665.5 0.809 -2.440 k131007_0324
6573.299077 0.980588 0.004141 1.2352 3672.7 0.497 1.746 k131007_0325
6573.299340 0.983382 0.004130 1.2359 3683.6 0.287 -0.240 k131007_0326
6573.299600 0.976525 0.004097 1.2367 3689.0 -0.659 0.214 k131007_0327
6573.299861 0.978157 0.004086 1.2374 3689.3 -0.764 -0.085 k131007_0328
6573.300122 0.980193 0.004131 1.2382 3684.3 0.166 -1.092 k131007_0329
6573.300386 0.979531 0.004137 1.2390 3690.2 0.356 0.019 k131007_0330
6573.300647 0.978819 0.004100 1.2397 3681.2 0.385 -0.102 k131007_0331
6573.300907 0.982454 0.004135 1.2405 3678.7 -0.171 -0.945 k131007_0332
6573.301171 0.978028 0.004154 1.2413 3671.3 -0.671 1.372 k131007_0333
6573.301434 0.975896 0.004130 1.2421 3659.3 -0.614 0.487 k131007_0334
6573.301694 0.981416 0.004096 1.2429 3657.9 -0.495 -0.044 k131007_0335
6573.301955 0.981243 0.004071 1.2436 3653.3 -0.127 -0.844 k131007_0336
6573.302216 0.982022 0.004114 1.2444 3656.0 -0.066 -0.064 k131007_0337
6573.302477 0.978301 0.004110 1.2452 3657.6 0.195 -0.143 k131007_0338
6573.302737 0.977893 0.004065 1.2460 3661.0 0.127 0.591 k131007_0339
6573.302997 0.980917 0.004095 1.2468 3657.2 0.280 -0.473 k131007_0340
6573.303258 0.977452 0.004061 1.2476 3662.3 -1.659 0.943 k131007_0341
6573.303521 0.981326 0.004088 1.2485 3666.1 2.508 -1.222 k131007_0342
6573.303790 0.978702 0.004065 1.2493 3661.6 -0.383 -0.826 k131007_0343
6573.304054 0.979729 0.004083 1.2502 3663.6 -0.155 -0.121 k131007_0344
6573.304315 0.980442 0.004096 1.2510 3656.2 -1.020 1.136 k131007_0345
6573.304578 0.976561 0.004069 1.2518 3651.4 -0.834 -0.755 k131007_0346
6573.304842 0.978486 0.004048 1.2527 3637.9 -0.768 0.058 k131007_0347
6573.305103 0.978663 0.004047 1.2535 3633.8 -0.294 -0.254 k131007_0348
