# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6557.922371 1.018108 0.002485 1.3090 1036.5 0.000 0.000 ISL00192672
6557.922961 1.019034 0.002488 1.3070 1035.7 0.332 0.432 ISL00192673
6557.923551 1.017080 0.002472 1.3060 1030.5 0.180 0.063 ISL00192674
6557.924141 1.017921 0.002465 1.3040 1018.0 -0.377 -1.134 ISL00192675
6557.924730 1.017907 0.002452 1.3030 995.5 0.113 0.622 ISL00192676
6557.925320 1.018793 0.002446 1.3010 981.6 0.427 0.729 ISL00192677
6557.925911 1.019010 0.002442 1.3000 967.6 -0.013 -0.455 ISL00192678
6557.926501 1.018442 0.002435 1.2980 965.2 -0.631 0.255 ISL00192679
6557.927091 1.020062 0.002430 1.2970 964.1 -0.079 -0.116 ISL00192680
6557.927681 1.016145 0.002414 1.2950 959.0 -0.325 0.278 ISL00192681
6557.928322 1.019281 0.002421 1.2940 957.7 0.165 -0.328 ISL00192682
6557.930091 1.017810 0.002411 1.2900 921.3 -0.212 0.599 ISL00192685
6557.930681 1.016823 0.002393 1.2890 905.8 -0.763 0.247 ISL00192686
6557.931861 1.018041 0.002376 1.2860 883.6 -0.355 0.150 ISL00192688
6557.932451 1.016695 0.002384 1.2850 876.0 -0.162 -0.573 ISL00192689
6557.941398 1.015689 0.002315 1.2690 768.5 0.044 0.178 ISL00192704
6557.941988 1.015636 0.002329 1.2680 766.8 0.458 -0.014 ISL00192705
6557.942578 1.018077 0.002326 1.2670 762.4 -0.177 -0.523 ISL00192706
6557.943168 1.015876 0.002329 1.2660 768.5 0.353 0.842 ISL00192707
6557.943759 1.016621 0.002339 1.2650 770.3 -0.640 -1.314 ISL00192708
6557.944349 1.013259 0.002337 1.2640 774.4 0.135 0.096 ISL00192709
6557.944939 1.012357 0.002306 1.2640 756.7 0.141 -0.121 ISL00192710
6557.945529 1.012436 0.002284 1.2630 743.1 0.309 -0.986 ISL00192711
6557.946162 1.010888 0.002294 1.2620 734.5 0.172 -1.165 ISL00192712
