# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6518.006087 1.023744 0.011114 1.4126 172.2 9.378 5.321 MTOTG0001166484
6518.006473 1.009847 0.011104 1.4107 170.8 7.789 5.451 MTOTG0001166485
6518.006853 1.019553 0.011112 1.4089 170.5 6.467 5.491 MTOTG0001166486
6518.007239 1.033958 0.011347 1.4071 187.9 7.717 5.766 MTOTG0001166487
6518.007620 1.007573 0.011397 1.4053 187.2 6.874 4.281 MTOTG0001166488
6518.008006 1.010927 0.011197 1.4034 169.6 7.101 4.511 MTOTG0001166489
6518.008386 1.005779 0.011246 1.4017 191.5 6.900 4.249 MTOTG0001166490
6518.008772 1.001300 0.011589 1.3999 190.1 4.318 2.874 MTOTG0001166491
6518.009153 1.013822 0.011340 1.3982 186.2 3.095 3.276 MTOTG0001166492
6518.009539 1.028915 0.011634 1.3964 183.4 0.485 2.280 MTOTG0001166493
6518.009920 1.027411 0.011461 1.3947 181.6 1.655 2.241 MTOTG0001166494
6518.010305 0.999835 0.011208 1.3930 180.8 3.446 2.380 MTOTG0001166495
6518.010686 1.006665 0.011041 1.3913 180.1 2.959 1.823 MTOTG0001166496
6518.011072 1.013424 0.011380 1.3896 178.8 1.553 1.289 MTOTG0001166497
6518.011453 1.017471 0.010970 1.3879 177.8 2.030 1.343 MTOTG0001166498
6518.011839 1.007044 0.011078 1.3863 176.2 -0.381 0.846 MTOTG0001166499
6518.012220 1.014401 0.010856 1.3846 174.5 -2.268 1.025 MTOTG0001166500
6518.012606 1.023994 0.010969 1.3830 172.6 -0.528 0.780 MTOTG0001166501
6518.012986 1.012942 0.010708 1.3814 171.0 0.925 0.989 MTOTG0001166502
6518.013373 1.002310 0.010841 1.3798 169.5 1.521 0.692 MTOTG0001166503
6518.013753 0.995690 0.010318 1.3782 167.2 1.400 0.650 MTOTG0001166504
6518.014139 1.017041 0.010574 1.3766 165.5 1.312 0.817 MTOTG0001166505
6518.014520 1.007059 0.010453 1.3750 164.5 0.125 0.516 MTOTG0001166506
6518.014906 1.011398 0.010524 1.3734 163.2 -1.600 0.384 MTOTG0001166507
6518.015286 1.011565 0.010198 1.3719 162.5 -1.762 0.466 MTOTG0001166508
6518.015673 1.011043 0.010480 1.3703 162.0 0.041 0.362 MTOTG0001166509
6518.016053 1.013218 0.010221 1.3688 161.1 1.367 0.515 MTOTG0001166510
6518.016439 1.012183 0.010352 1.3673 160.1 0.376 0.667 MTOTG0001166511
6518.016819 1.022617 0.010255 1.3658 158.9 0.336 0.514 MTOTG0001166512
6518.017206 0.993798 0.010356 1.3643 157.9 0.501 0.733 MTOTG0001166513
6518.017586 1.012479 0.010360 1.3629 157.2 -1.232 0.621 MTOTG0001166514
6518.017972 1.004351 0.010150 1.3613 156.3 -2.160 0.812 MTOTG0001166515
6518.018352 1.002686 0.010341 1.3599 155.8 0.154 0.684 MTOTG0001166516
6518.018739 1.003559 0.010195 1.3584 155.4 1.143 0.708 MTOTG0001166517
6518.019119 0.999680 0.009899 1.3571 154.3 1.307 0.831 MTOTG0001166518
6518.019505 1.022836 0.010197 1.3556 153.0 0.893 0.795 MTOTG0001166519
6518.019885 1.008544 0.010049 1.3542 152.4 1.335 0.905 MTOTG0001166520
6518.020271 1.030869 0.010397 1.3528 151.2 -0.811 0.907 MTOTG0001166521
6518.020651 1.006596 0.009943 1.3514 150.3 -1.986 1.055 MTOTG0001166522
6518.021037 1.017945 0.010298 1.3500 149.8 0.096 0.962 MTOTG0001166523
6518.021418 1.013658 0.010032 1.3486 148.9 1.699 1.023 MTOTG0001166524
6518.021804 1.007646 0.010018 1.3473 148.3 1.975 1.047 MTOTG0001166525
6518.022184 1.007812 0.010217 1.3459 148.1 1.377 1.318 MTOTG0001166526
6518.022570 1.027213 0.010274 1.3446 147.7 1.773 1.304 MTOTG0001166527
6518.022950 1.027789 0.010263 1.3433 147.6 -0.172 1.134 MTOTG0001166528
6518.023336 1.020617 0.010179 1.3420 147.3 -2.061 1.457 MTOTG0001166529
6518.023717 1.005593 0.010349 1.3406 146.5 -1.633 1.375 MTOTG0001166530
6518.024102 1.002818 0.010346 1.3394 146.2 0.871 1.576 MTOTG0001166531
6518.024483 1.019367 0.010757 1.3381 146.1 1.277 1.585 MTOTG0001166532
