# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6557.950218 1.009058 0.004453 1.2584 169.6 0.752 0.200 MTOTI0001188107
6557.950604 1.003981 0.004420 1.2579 168.1 -0.681 0.362 MTOTI0001188108
6557.952136 0.997842 0.004303 1.2563 151.5 1.570 0.517 MTOTI0001188112
6557.952517 1.000372 0.004301 1.2559 156.9 1.308 0.366 MTOTI0001188113
6557.952904 0.994634 0.004362 1.2556 169.2 1.935 0.450 MTOTI0001188114
6557.953284 0.997202 0.004383 1.2552 211.0 0.400 0.332 MTOTI0001188115
6557.953668 0.995916 0.004377 1.2549 213.9 -1.414 0.491 MTOTI0001188116
6557.954049 1.000455 0.004327 1.2545 172.3 -0.296 0.470 MTOTI0001188117
6557.954436 0.996369 0.004324 1.2542 200.2 2.471 0.612 MTOTI0001188118
6557.954816 1.000867 0.004339 1.2538 226.4 2.656 0.505 MTOTI0001188119
6557.955201 0.994815 0.004313 1.2535 196.1 2.355 0.607 MTOTI0001188120
6557.955582 0.993040 0.004256 1.2532 161.7 2.963 0.486 MTOTI0001188121
6557.955969 0.990771 0.004268 1.2529 158.2 1.019 0.562 MTOTI0001188122
6557.956349 0.995136 0.004285 1.2526 158.5 -1.068 0.494 MTOTI0001188123
6557.956734 0.998591 0.004293 1.2523 160.0 -0.769 0.517 MTOTI0001188124
6557.957115 0.993799 0.004255 1.2520 160.6 0.803 0.556 MTOTI0001188125
6557.957502 0.993343 0.004226 1.2517 158.4 1.341 0.603 MTOTI0001188126
6557.957882 0.994688 0.004229 1.2514 158.1 1.160 0.767 MTOTI0001188127
6557.958268 0.994384 0.004233 1.2511 158.8 1.796 0.383 MTOTI0001188128
6557.959034 0.991057 0.004251 1.2506 159.9 -1.205 0.426 MTOTI0001188130
6557.959414 0.989325 0.004229 1.2504 159.6 -1.638 0.526 MTOTI0001188131
6557.959800 1.002405 0.004290 1.2502 166.7 1.438 0.135 MTOTI0001188132
6557.960181 0.989352 0.004210 1.2499 172.8 2.583 0.160 MTOTI0001188133
6557.960567 0.989435 0.004190 1.2497 169.0 2.243 0.120 MTOTI0001188134
6557.960947 0.992057 0.004203 1.2495 163.5 2.017 0.109 MTOTI0001188135
6557.961333 0.993729 0.004209 1.2493 162.8 2.019 0.298 MTOTI0001188136
6557.961714 0.988515 0.004223 1.2491 163.4 -0.058 0.152 MTOTI0001188137
6557.962100 0.988563 0.004178 1.2489 163.9 -1.182 0.221 MTOTI0001188138
6557.962480 0.988337 0.004165 1.2487 162.9 0.034 0.261 MTOTI0001188139
6557.962867 0.996016 0.004175 1.2485 161.1 1.549 0.176 MTOTI0001188140
6557.963247 0.998309 0.004166 1.2484 160.7 1.366 0.283 MTOTI0001188141
6557.963632 0.991925 0.004171 1.2482 161.6 1.759 0.296 MTOTI0001188142
6557.964013 0.990602 0.004157 1.2481 162.9 2.133 0.217 MTOTI0001188143
6557.964400 0.997243 0.004193 1.2479 164.5 0.435 0.385 MTOTI0001188144
6557.964780 0.994202 0.004166 1.2478 165.4 -1.566 0.327 MTOTI0001188145
6557.965166 0.984614 0.004158 1.2476 165.8 -0.141 0.495 MTOTI0001188146
6557.965546 0.996999 0.004225 1.2475 166.9 2.045 0.201 MTOTI0001188147
6557.965933 0.987805 0.004186 1.2474 170.4 2.254 0.263 MTOTI0001188148
6557.967078 0.995471 0.004238 1.2471 177.2 1.188 0.354 MTOTI0001188151
6557.967464 0.988338 0.004242 1.2470 179.6 -1.109 0.357 MTOTI0001188152
6557.967844 0.991456 0.004233 1.2469 180.7 -0.720 0.242 MTOTI0001188153
6557.968230 0.988980 0.004213 1.2469 180.6 0.944 0.179 MTOTI0001188154
6557.968611 0.987682 0.004184 1.2468 180.3 1.612 0.190 MTOTI0001188155
6557.968997 0.987506 0.004184 1.2468 180.6 1.041 0.220 MTOTI0001188156
6557.969377 0.982784 0.004209 1.2467 182.5 1.832 0.314 MTOTI0001188157
6557.969764 0.992124 0.004210 1.2467 184.5 1.099 0.292 MTOTI0001188158
6557.970144 0.986945 0.004222 1.2466 188.1 -1.219 0.439 MTOTI0001188159
6557.970531 0.991830 0.004224 1.2466 189.9 -1.236 0.369 MTOTI0001188160
6557.970911 0.991314 0.004211 1.2466 192.8 0.384 0.370 MTOTI0001188161
6557.971296 0.993878 0.004218 1.2466 191.9 1.383 0.472 MTOTI0001188162
6557.971677 0.992335 0.004229 1.2466 192.6 2.057 0.346 MTOTI0001188163
6557.972064 0.983347 0.004190 1.2466 193.7 2.391 0.539 MTOTI0001188164
6557.972444 0.990346 0.004201 1.2466 194.6 1.967 0.539 MTOTI0001188165
6557.972829 0.985491 0.004201 1.2466 195.8 -0.251 0.495 MTOTI0001188166
