# BJD(TDB)-2450000 flux err airmass sky dx dy baserun
6518.005322 1.013104 0.004814 1.4162 349.4 9.999 5.536 MTOTR0001166482
6518.005707 1.009578 0.004803 1.4143 366.0 9.873 5.629 MTOTR0001166483
6518.006087 1.014981 0.004824 1.4126 323.2 9.550 5.472 MTOTR0001166484
6518.006473 1.003610 0.004793 1.4107 322.2 8.115 5.718 MTOTR0001166485
6518.006853 1.003644 0.004778 1.4089 321.0 6.788 5.626 MTOTR0001166486
6518.007239 1.006043 0.004814 1.4071 319.3 7.986 5.848 MTOTR0001166487
6518.007620 1.010045 0.004876 1.4053 378.0 7.209 4.596 MTOTR0001166488
6518.008006 1.002995 0.004825 1.4034 371.7 7.393 4.549 MTOTR0001166489
6518.008386 1.008774 0.004920 1.4017 407.1 6.935 4.459 MTOTR0001166490
6518.008772 1.005493 0.004991 1.3999 429.2 4.598 3.281 MTOTR0001166491
6518.009153 0.997007 0.004848 1.3982 367.2 3.432 3.654 MTOTR0001166492
6518.009539 0.995391 0.004889 1.3964 320.5 0.417 2.537 MTOTR0001166493
6518.009920 1.000974 0.004830 1.3947 313.6 1.743 2.563 MTOTR0001166494
6518.010305 1.000623 0.004824 1.3930 350.2 3.613 2.707 MTOTR0001166495
6518.010686 1.005123 0.004791 1.3913 329.1 3.286 1.920 MTOTR0001166496
6518.011072 1.006298 0.004850 1.3896 326.2 1.879 1.430 MTOTR0001166497
6518.011453 1.003364 0.004750 1.3879 323.6 2.191 1.454 MTOTR0001166498
6518.011839 0.995496 0.004757 1.3863 320.8 -0.078 1.056 MTOTR0001166499
6518.012220 1.008714 0.004732 1.3846 298.2 -2.074 1.177 MTOTR0001166500
6518.012606 0.995103 0.004712 1.3830 294.2 -0.343 0.895 MTOTR0001166501
6518.012986 1.002430 0.004673 1.3814 308.3 1.190 0.983 MTOTR0001166502
6518.013373 0.996902 0.004698 1.3798 305.2 1.749 0.793 MTOTR0001166503
6518.013753 1.009885 0.004634 1.3782 301.1 1.565 0.840 MTOTR0001166504
6518.014139 0.996807 0.004634 1.3766 296.6 1.459 0.881 MTOTR0001166505
6518.014520 1.001868 0.004600 1.3750 282.1 0.432 0.728 MTOTR0001166506
6518.014906 1.010594 0.005173 1.3734 310.6 -1.433 0.499 MTOTR0001166507
6518.015286 1.001659 0.004554 1.3719 290.5 -1.387 0.543 MTOTR0001166508
6518.015673 1.009955 0.004625 1.3703 288.9 0.485 0.372 MTOTR0001166509
