# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456855.48725549        2.158377E+06        1.510367E+03        3.488556E+06        1.918384E+03       -2.981455E-03        5.732422E-01       -4.229131E-01        2.754146E+00        1.400347E+00        4.380043E+01
    2456855.48754409        2.153489E+06        1.508636E+03        3.483151E+06        1.916911E+03       -1.977094E-01        5.007935E-02        4.271412E-02        2.844645E+00        1.398628E+00        4.379170E+01
    2456855.48810391        2.153102E+06        1.508516E+03        3.489763E+06        1.918747E+03        4.723140E-02        3.463745E-01       -5.041647E-01        2.915177E+00        1.395355E+00        4.377359E+01
    2456855.48838755        2.154437E+06        1.508985E+03        3.489508E+06        1.918630E+03       -1.187652E-01        8.032227E-02       -2.550626E-01        2.792540E+00        1.393731E+00        4.376384E+01
    2456855.48867106        2.152445E+06        1.508269E+03        3.488123E+06        1.918373E+03       -4.879445E-02        4.236145E-01        8.329153E-02        2.878259E+00        1.392048E+00        4.375367E+01
    2456855.48895482        2.155338E+06        1.509554E+03        3.478832E+06        1.915632E+03       -4.592729E-01        3.067017E-02       -8.151627E-02        3.252124E+00        1.390440E+00        4.374319E+01
    2456855.48923878        2.150427E+06        1.507606E+03        3.479889E+06        1.916085E+03        1.647378E-02        2.265930E-01        1.748776E-01        3.197871E+00        1.388775E+00        4.373224E+01
    2456855.48952217        2.154830E+06        1.509135E+03        3.477793E+06        1.915396E+03       -1.616632E-01       -3.567505E-02        6.928396E-02        2.913111E+00        1.387183E+00        4.372092E+01
    2456855.48980593        2.151162E+06        1.507834E+03        3.479030E+06        1.915768E+03       -1.485130E-01        7.366943E-02       -8.160114E-03        3.166354E+00        1.385534E+00        4.370921E+01
    2456855.49008949        2.155573E+06        1.509442E+03        3.485702E+06        1.917516E+03       -9.552002E-02        5.528564E-01       -2.019229E-01        2.820352E+00        1.383962E+00        4.369704E+01
