# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456855.48725549        1.961909E+06        1.440344E+03        3.321577E+06        1.872396E+03       -2.981455E-03        5.549011E-01       -4.229131E-01        2.731282E+00        1.400347E+00        4.380043E+01
    2456855.48754409        1.960621E+06        1.439834E+03        3.317870E+06        1.871179E+03       -1.977094E-01        3.958130E-02        4.271412E-02        2.808035E+00        1.398628E+00        4.379170E+01
    2456855.48810391        1.958701E+06        1.439206E+03        3.322507E+06        1.872545E+03        4.723140E-02        3.335571E-01       -5.041647E-01        2.880535E+00        1.395355E+00        4.377359E+01
    2456855.48838755        1.963540E+06        1.440902E+03        3.321866E+06        1.872340E+03       -1.187652E-01        6.710815E-02       -2.550626E-01        2.769948E+00        1.393731E+00        4.376384E+01
    2456855.48867106        1.961932E+06        1.440321E+03        3.318645E+06        1.871452E+03       -4.879445E-02        4.111633E-01        8.329153E-02        2.850064E+00        1.392048E+00        4.375367E+01
    2456855.48895482        1.960928E+06        1.440248E+03        3.318795E+06        1.871437E+03       -4.592729E-01        2.072144E-02       -8.151627E-02        3.248576E+00        1.390440E+00        4.374319E+01
    2456855.48923878        1.959029E+06        1.439292E+03        3.314615E+06        1.870327E+03        1.647378E-02        2.147522E-01        1.748776E-01        3.161332E+00        1.388775E+00        4.373224E+01
    2456855.48952217        1.959648E+06        1.439457E+03        3.317244E+06        1.871052E+03       -1.616632E-01       -4.412842E-02        6.928396E-02        2.893415E+00        1.387183E+00        4.372092E+01
    2456855.48980593        1.961594E+06        1.440192E+03        3.316212E+06        1.870763E+03       -1.485130E-01        6.442261E-02       -8.160114E-03        3.130055E+00        1.385534E+00        4.370921E+01
    2456855.49008949        1.961993E+06        1.440336E+03        3.314063E+06        1.870157E+03       -9.552002E-02        5.396118E-01       -2.019229E-01        2.814487E+00        1.383962E+00        4.369704E+01
    2456855.49037327        1.963147E+06        1.440715E+03        3.318095E+06        1.871337E+03       -1.977069E-01        4.226685E-01        1.110512E+00        3.020561E+00        1.382330E+00        4.368453E+01
    2456855.49065704        1.960048E+06        1.439646E+03        3.320744E+06        1.872041E+03       -1.498997E-02        5.373840E-01        9.895349E-01        2.767280E+00        1.380706E+00        4.367154E+01
    2456855.49094234        1.961539E+06        1.440162E+03        3.325733E+06        1.873414E+03        1.755375E-02        2.204285E-01        4.925079E-01        2.707345E+00        1.379155E+00        4.365818E+01
