# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456855.48725549        2.736146E+06        1.700399E+03        4.541073E+06        2.188595E+03       -2.981455E-03        6.127167E-01       -4.229131E-01        2.823137E+00        1.400347E+00        4.380043E+01
    2456855.48754409        2.737933E+06        1.700889E+03        4.536761E+06        2.187642E+03       -1.977094E-01        9.095764E-02        4.271412E-02        2.917184E+00        1.398628E+00        4.379170E+01
    2456855.48810391        2.734365E+06        1.699799E+03        4.539749E+06        2.188231E+03        4.723140E-02        3.875885E-01       -5.041647E-01        2.985235E+00        1.395355E+00        4.377359E+01
    2456855.48838755        2.734081E+06        1.699618E+03        4.538461E+06        2.187959E+03       -1.187652E-01        1.200714E-01       -2.550626E-01        2.870077E+00        1.393731E+00        4.376384E+01
    2456855.48867106        2.733383E+06        1.699431E+03        4.537959E+06        2.187847E+03       -4.879445E-02        4.680328E-01        8.329153E-02        2.940282E+00        1.392048E+00        4.375367E+01
    2456855.48895482        2.732608E+06        1.699493E+03        4.531563E+06        2.186210E+03       -4.592729E-01        8.076477E-02       -8.151627E-02        3.314163E+00        1.390440E+00        4.374319E+01
    2456855.48923878        2.727393E+06        1.697584E+03        4.530584E+06        2.186161E+03        1.647378E-02        2.689972E-01        1.748776E-01        3.241272E+00        1.388775E+00        4.373224E+01
    2456855.48952217        2.732927E+06        1.699322E+03        4.536404E+06        2.187432E+03       -1.616632E-01        7.247925E-03        6.928396E-02        2.978109E+00        1.387183E+00        4.372092E+01
    2456855.48980593        2.729118E+06        1.698212E+03        4.535834E+06        2.187458E+03       -1.485130E-01        1.125641E-01       -8.160114E-03        3.226020E+00        1.385534E+00        4.370921E+01
    2456855.49008949        2.732421E+06        1.699215E+03        4.532445E+06        2.186517E+03       -9.552002E-02        5.926666E-01       -2.019229E-01        2.886591E+00        1.383962E+00        4.369704E+01
    2456855.49037327        2.733866E+06        1.699620E+03        4.530758E+06        2.186104E+03       -1.977069E-01        4.726105E-01        1.110512E+00        3.151358E+00        1.382330E+00        4.368453E+01
    2456855.49065704        2.733115E+06        1.699395E+03        4.534892E+06        2.187079E+03       -1.498997E-02        5.899506E-01        9.895349E-01        2.858596E+00        1.380706E+00        4.367154E+01
    2456855.49094234        2.733718E+06        1.699534E+03        4.539520E+06        2.188194E+03        1.755375E-02        2.709808E-01        4.925079E-01        2.825652E+00        1.379155E+00        4.365818E+01
    2456855.49122611        2.734494E+06        1.699846E+03        4.544839E+06        2.189496E+03       -1.649773E-02        4.267731E-01        9.400692E-01        2.846008E+00        1.377548E+00        4.364440E+01
    2456855.49150952        2.732363E+06        1.699103E+03        4.538151E+06        2.187946E+03        1.082586E-02        1.398773E-01       -1.646104E-01        2.683266E+00        1.376012E+00        4.363030E+01
    2456855.49179309        2.733158E+06        1.699405E+03        4.533556E+06        2.186789E+03       -2.408340E-02        3.374786E-01       -4.583430E-01        2.840780E+00        1.374421E+00        4.361582E+01
    2456855.49207663        2.730015E+06        1.698432E+03        4.535580E+06        2.187340E+03       -3.126330E-01        4.285431E-01       -4.464035E-01        2.955599E+00        1.372901E+00        4.360087E+01
    2456855.49236040        2.730698E+06        1.698651E+03        4.535485E+06        2.187335E+03       -1.061930E-01        2.977753E-01        1.268306E+00        3.167676E+00        1.371327E+00        4.358539E+01
    2456855.49264379        2.734078E+06        1.699651E+03        4.532606E+06        2.186523E+03        6.386384E-02        1.290741E-01       -6.614223E-01        3.015915E+00        1.369823E+00        4.356969E+01
    2456855.49292755        2.732806E+06        1.699305E+03        4.543669E+06        2.189266E+03       -2.056197E-01        2.371368E-01       -2.395482E-01        2.900497E+00        1.368264E+00        4.355342E+01
    2456855.49321095        2.732019E+06        1.699061E+03        4.534569E+06        2.187045E+03        4.144069E-02        2.779388E-01       -1.996818E-01        2.966926E+00        1.366776E+00        4.353686E+01
    2456855.49349452        2.732655E+06        1.699263E+03        4.535956E+06        2.187397E+03       -2.227045E-02        4.460907E-01        1.225479E+00        3.031530E+00        1.365234E+00        4.351990E+01
    2456855.49377789        2.730960E+06        1.698774E+03        4.532335E+06        2.186566E+03       -2.978637E-01        1.933136E-01        1.010111E+00        3.168367E+00        1.363760E+00        4.350243E+01
    2456855.49406146        2.730420E+06        1.698601E+03        4.534518E+06        2.186895E+03        2.337543E-01        3.657074E-01       -7.242346E-02        2.895293E+00        1.362234E+00        4.348456E+01
    2456855.49434508        2.730749E+06        1.698709E+03        4.537694E+06        2.187824E+03       -5.524070E-01        3.832550E-01        1.089043E+00        3.046708E+00        1.360775E+00        4.346630E+01
    2456855.49462883        2.729415E+06        1.698299E+03        4.539192E+06        2.188188E+03        1.612104E-01        5.983429E-01        5.185671E-01        3.187597E+00        1.359264E+00        4.344765E+01
    2456855.49491026        2.728715E+06        1.697979E+03        4.531602E+06        2.186353E+03       -2.149058E-03        4.734802E-02        1.793971E-01        3.037383E+00        1.357821E+00        4.342857E+01
    2456855.49519402        2.729754E+06        1.698320E+03        4.531733E+06        2.186268E+03       -2.510664E-01        1.541595E-01       -5.542006E-01        3.053341E+00        1.356385E+00        4.340898E+01
    2456855.49547933        2.730125E+06        1.698444E+03        4.529440E+06        2.185817E+03       -5.153668E-01        6.184540E-01       -1.642427E-01        3.254139E+00        1.354897E+00        4.338890E+01
    2456855.49576291        2.730437E+06        1.698546E+03        4.535198E+06        2.187259E+03        1.423525E-01        7.888794E-03       -1.743350E-01        3.081776E+00        1.353417E+00        4.336852E+01
    2456855.49604647        2.729542E+06        1.698293E+03        4.535273E+06        2.187247E+03       -8.650456E-02        4.735565E-01       -5.512333E-02        2.917618E+00        1.352003E+00        4.334764E+01
    2456855.49633005        2.730795E+06        1.698663E+03        4.534125E+06        2.186948E+03        7.869482E-02        4.806061E-01       -2.795935E-02        3.215231E+00        1.350538E+00        4.332649E+01
    2456855.49661364        2.731384E+06        1.698890E+03        4.538241E+06        2.187883E+03        3.227402E-02        4.353180E-01        8.413081E-01        2.817961E+00        1.349139E+00        4.330463E+01
    2456855.49689722        2.733673E+06        1.699564E+03        4.539276E+06        2.188212E+03       -1.404771E-01        4.247589E-01        9.530687E-02        3.034571E+00        1.347689E+00        4.328265E+01
    2456855.49717888        2.733505E+06        1.699575E+03        4.536952E+06        2.187738E+03       -1.467055E-01        1.274872E-01        1.547275E-01        2.932916E+00        1.346304E+00        4.326016E+01
    2456855.49746245        2.724361E+06        1.696685E+03        4.532046E+06        2.186490E+03       -8.072161E-02        3.123932E-01        1.923170E-01        3.116523E+00        1.344927E+00        4.323699E+01
    2456855.49774619        2.729872E+06        1.698413E+03        4.538716E+06        2.188028E+03        3.240835E-01        5.295868E-01        9.073973E-02        3.051876E+00        1.343499E+00        4.321366E+01
    2456855.49802977        2.728575E+06        1.697977E+03        4.529591E+06        2.185803E+03       -2.959404E-01        4.227448E-01       -1.770287E-01        3.269115E+00        1.342079E+00        4.318972E+01
    2456855.49831488        2.730198E+06        1.698489E+03        4.534153E+06        2.187001E+03       -3.101455E-01        6.232147E-01       -1.093919E+00        2.922227E+00        1.340723E+00        4.316530E+01
    2456855.49859865        2.729802E+06        1.698696E+03        4.537980E+06        2.187906E+03       -2.704008E-01        2.391052E-02        1.105583E+00        3.184902E+00        1.339318E+00        4.314056E+01
    2456855.49888030        2.726875E+06        1.697383E+03        4.528329E+06        2.185574E+03       -2.839073E-01        4.440765E-01       -4.503870E-02        3.272661E+00        1.337976E+00        4.311546E+01
    2456855.49916406        2.724529E+06        1.696727E+03        4.535255E+06        2.187157E+03       -4.321219E-02        4.779510E-01       -3.024125E-01        3.023258E+00        1.336586E+00        4.308969E+01
    2456855.49945150        2.726346E+06        1.697343E+03        4.529990E+06        2.186001E+03       -4.026712E-01        6.632843E-01       -6.057262E-02        3.604605E+00        1.335257E+00        4.306327E+01
    2456855.49973527        2.728119E+06        1.697845E+03        4.529801E+06        2.185921E+03       -2.403770E-01       -3.730774E-02        1.092203E+00        3.239634E+00        1.333882E+00        4.303677E+01
    2456855.50001884        2.723015E+06        1.696292E+03        4.528156E+06        2.185420E+03       -3.537621E-02        3.045502E-01        4.800129E-02        3.065052E+00        1.332567E+00        4.300969E+01
    2456855.50030282        2.723171E+06        1.696338E+03        4.532450E+06        2.186513E+03       -3.438350E-01        3.478241E-01       -1.323314E-01        3.451780E+00        1.331205E+00        4.298220E+01
    2456855.50058657        2.723691E+06        1.696529E+03        4.528474E+06        2.185595E+03        8.331066E-02        9.470367E-01       -4.379482E-01        3.708671E+00        1.329905E+00        4.295434E+01
    2456855.50087014        2.727914E+06        1.697868E+03        4.527155E+06        2.185259E+03       -8.083132E-01        5.890350E-01       -4.556074E-01        3.773322E+00        1.328556E+00        4.292590E+01
    2456855.50115371        2.721347E+06        1.695768E+03        4.525879E+06        2.184930E+03        2.976094E-01        2.702179E-01       -3.552904E-01        4.199142E+00        1.327270E+00        4.289712E+01
    2456855.50143767        2.725470E+06        1.697028E+03        4.525019E+06        2.184718E+03       -2.996558E-01        2.146454E-01       -4.587297E-01        3.626154E+00        1.325937E+00        4.286771E+01
    2456855.50172163        2.727803E+06        1.697749E+03        4.532427E+06        2.186548E+03       -1.138470E-01        4.803009E-01       -1.516051E-01        3.386662E+00        1.324664E+00        4.283776E+01
    2456855.50200540        2.723796E+06        1.696577E+03        4.530503E+06        2.186169E+03       -1.634664E-01        2.978363E-01        3.325176E-02        3.595490E+00        1.323344E+00        4.280768E+01
    2456855.50228917        2.732010E+06        1.699085E+03        4.535130E+06        2.187281E+03       -1.290172E-01        4.852142E-01        2.060139E+00        2.931887E+00        1.322032E+00        4.277686E+01
    2456855.50257447        2.724217E+06        1.696662E+03        4.532403E+06        2.186654E+03        5.381243E-01        6.751556E-01        5.284152E-01        3.240934E+00        1.320782E+00        4.274556E+01
    2456855.50285824        2.724843E+06        1.696859E+03        4.534620E+06        2.187036E+03        1.331615E-01        4.466705E-01        2.082356E+00        2.965417E+00        1.319483E+00        4.271385E+01
    2456855.50314165        2.725860E+06        1.697127E+03        4.530382E+06        2.185921E+03        6.264000E-02        4.832001E-01        7.932043E-02        2.771637E+00        1.318242E+00        4.268189E+01
    2456855.50342523        2.724795E+06        1.696851E+03        4.539117E+06        2.188153E+03       -5.509911E-02        3.242035E-01        1.706697E+00        2.690201E+00        1.316957E+00        4.264950E+01
    2456855.50370877        2.730378E+06        1.698540E+03        4.534101E+06        2.186894E+03        8.976224E-03        1.240692E-01        7.162576E-01        3.020808E+00        1.315730E+00        4.261637E+01
    2456855.50399234        2.726172E+06        1.697223E+03        4.533681E+06        2.186864E+03        2.684493E-01        3.985138E-01        1.603597E+00        3.193594E+00        1.314458E+00        4.258303E+01
