# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456855.48725549        1.656687E+06        1.326571E+03        2.644052E+06        1.672653E+03       -2.981455E-03        1.428299E+00       -4.229131E-01        2.951603E+00        1.400347E+00        4.380043E+01
    2456855.48754409        1.657250E+06        1.326840E+03        2.640869E+06        1.671746E+03       -1.977094E-01        8.873138E-01        4.271412E-02        3.049609E+00        1.398628E+00        4.379170E+01
    2456855.48810391        1.658397E+06        1.327317E+03        2.641108E+06        1.671699E+03        4.723140E-02        1.201370E+00       -5.041647E-01        3.166157E+00        1.395355E+00        4.377359E+01
    2456855.48838755        1.656885E+06        1.326637E+03        2.642542E+06        1.672199E+03       -1.187652E-01        9.052582E-01       -2.550626E-01        3.105149E+00        1.393731E+00        4.376384E+01
    2456855.48867106        1.658241E+06        1.327158E+03        2.642039E+06        1.672065E+03       -4.879445E-02        1.253799E+00        8.329153E-02        3.084265E+00        1.392048E+00        4.375367E+01
    2456855.48895482        1.653914E+06        1.324872E+03        2.642461E+06        1.672211E+03       -4.592729E-01        8.848419E-01       -8.151627E-02        3.612756E+00        1.390440E+00        4.374319E+01
    2456855.48923878        1.656334E+06        1.326416E+03        2.641712E+06        1.671971E+03        1.647378E-02        1.065323E+00        1.748776E-01        3.413419E+00        1.388775E+00        4.373224E+01
    2456855.48952217        1.655536E+06        1.326168E+03        2.635508E+06        1.670044E+03       -1.616632E-01        7.845612E-01        6.928396E-02        3.212200E+00        1.387183E+00        4.372092E+01
    2456855.48980593        1.657623E+06        1.327003E+03        2.643682E+06        1.672613E+03       -1.485130E-01        8.923187E-01       -8.160114E-03        3.391505E+00        1.385534E+00        4.370921E+01
    2456855.49008949        1.657148E+06        1.326745E+03        2.641881E+06        1.671954E+03       -9.552002E-02        1.370651E+00       -2.019229E-01        3.061521E+00        1.383962E+00        4.369704E+01
    2456855.49037327        1.658436E+06        1.327245E+03        2.643288E+06        1.672414E+03       -1.977069E-01        1.244827E+00        1.110512E+00        3.296742E+00        1.382330E+00        4.368453E+01
    2456855.49065704        1.656614E+06        1.326575E+03        2.643462E+06        1.672546E+03       -1.498997E-02        1.356766E+00        9.895349E-01        3.083975E+00        1.380706E+00        4.367154E+01
    2456855.49094234        1.658734E+06        1.327361E+03        2.643970E+06        1.672629E+03        1.755375E-02        1.026382E+00        4.925079E-01        3.011951E+00        1.379155E+00        4.365818E+01
    2456855.49122611        1.656138E+06        1.326277E+03        2.641957E+06        1.671988E+03       -1.649773E-02        1.191879E+00        9.400692E-01        3.031058E+00        1.377548E+00        4.364440E+01
    2456855.49150952        1.657064E+06        1.326604E+03        2.639843E+06        1.671375E+03        1.082586E-02        8.976593E-01       -1.646104E-01        2.823688E+00        1.376012E+00        4.363030E+01
    2456855.49179309        1.660106E+06        1.327857E+03        2.644132E+06        1.672656E+03       -2.408340E-02        1.097794E+00       -4.583430E-01        3.062715E+00        1.374421E+00        4.361582E+01
    2456855.49207663        1.657204E+06        1.326771E+03        2.652154E+06        1.675180E+03       -3.126330E-01        1.192184E+00       -4.464035E-01        3.124204E+00        1.372901E+00        4.360087E+01
    2456855.49236040        1.655749E+06        1.326140E+03        2.644005E+06        1.672467E+03       -1.061930E-01        1.062271E+00        1.268306E+00        3.388349E+00        1.371327E+00        4.358539E+01
    2456855.49264379        1.659045E+06        1.327408E+03        2.643598E+06        1.672500E+03        6.386384E-02        8.801727E-01       -6.614223E-01        3.244962E+00        1.369823E+00        4.356969E+01
    2456855.49292755        1.657158E+06        1.326755E+03        2.647818E+06        1.673816E+03       -2.056197E-01        9.853668E-01       -2.395482E-01        3.115527E+00        1.368264E+00        4.355342E+01
    2456855.49321095        1.660190E+06        1.327996E+03        2.646245E+06        1.673367E+03        4.144069E-02        1.015396E+00       -1.996818E-01        3.154912E+00        1.366776E+00        4.353686E+01
    2456855.49349452        1.658012E+06        1.327062E+03        2.644300E+06        1.672736E+03       -2.227045E-02        1.206711E+00        1.225479E+00        3.207100E+00        1.365234E+00        4.351990E+01
    2456855.49377789        1.661352E+06        1.328390E+03        2.648405E+06        1.674110E+03       -2.978637E-01        9.384613E-01        1.010111E+00        3.345747E+00        1.363760E+00        4.350243E+01
    2456855.49406146        1.660369E+06        1.328048E+03        2.648640E+06        1.674039E+03        2.337543E-01        1.093979E+00       -7.242346E-02        3.101968E+00        1.362234E+00        4.348456E+01
