# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456855.48725549        5.518306E+06        2.415371E+03        9.193964E+06        3.114950E+03       -2.981455E-03        6.657867E-01       -4.229131E-01        2.855031E+00        1.400347E+00        4.380043E+01
    2456855.48754409        5.515512E+06        2.414690E+03        9.199535E+06        3.115866E+03       -1.977094E-01        1.415253E-01        4.271412E-02        2.943279E+00        1.398628E+00        4.379170E+01
    2456855.48810391        5.512343E+06        2.414007E+03        9.188232E+06        3.113954E+03        4.723140E-02        4.377289E-01       -5.041647E-01        3.022491E+00        1.395355E+00        4.377359E+01
    2456855.48838755        5.518192E+06        2.415253E+03        9.166292E+06        3.110249E+03       -1.187652E-01        1.675568E-01       -2.550626E-01        2.913301E+00        1.393731E+00        4.376384E+01
    2456855.48867106        5.513884E+06        2.414419E+03        9.181805E+06        3.112867E+03       -4.879445E-02        5.153351E-01        8.329153E-02        2.978296E+00        1.392048E+00        4.375367E+01
    2456855.48895482        5.508828E+06        2.413398E+03        9.188030E+06        3.113777E+03       -4.592729E-01        1.233673E-01       -8.151627E-02        3.364352E+00        1.390440E+00        4.374319E+01
    2456855.48923878        5.506447E+06        2.412766E+03        9.175770E+06        3.111720E+03        1.647378E-02        3.151398E-01        1.748776E-01        3.277990E+00        1.388775E+00        4.373224E+01
    2456855.48952217        5.507939E+06        2.413113E+03        9.155884E+06        3.108495E+03       -1.616632E-01        5.555725E-02        6.928396E-02        3.000903E+00        1.387183E+00        4.372092E+01
    2456855.48980593        5.509053E+06        2.413302E+03        9.165837E+06        3.110122E+03       -1.485130E-01        1.651154E-01       -8.160114E-03        3.246590E+00        1.385534E+00        4.370921E+01
    2456855.49008949        5.517424E+06        2.415210E+03        9.186161E+06        3.113481E+03       -9.552002E-02        6.416779E-01       -2.019229E-01        2.910706E+00        1.383962E+00        4.369704E+01
    2456855.49037327        5.517329E+06        2.415155E+03        9.180430E+06        3.112683E+03       -1.977069E-01        5.212860E-01        1.110512E+00        3.192678E+00        1.382330E+00        4.368453E+01
    2456855.49065704        5.510032E+06        2.413618E+03        9.169893E+06        3.110971E+03       -1.498997E-02        6.309052E-01        9.895349E-01        2.887813E+00        1.380706E+00        4.367154E+01
    2456855.49094234        5.514111E+06        2.414435E+03        9.179914E+06        3.112558E+03        1.755375E-02        3.181305E-01        4.925079E-01        2.843459E+00        1.379155E+00        4.365818E+01
    2456855.49122611        5.511651E+06        2.413901E+03        9.159944E+06        3.109204E+03       -1.649773E-02        4.722748E-01        9.400692E-01        2.894274E+00        1.377548E+00        4.364440E+01
    2456855.49150952        5.514117E+06        2.414394E+03        9.182165E+06        3.112815E+03        1.082586E-02        1.831207E-01       -1.646104E-01        2.701960E+00        1.376012E+00        4.363030E+01
    2456855.49179309        5.518026E+06        2.415324E+03        9.185606E+06        3.113465E+03       -2.408340E-02        3.813629E-01       -4.583430E-01        2.880523E+00        1.374421E+00        4.361582E+01
    2456855.49207663        5.509077E+06        2.413273E+03        9.205232E+06        3.116732E+03       -3.126330E-01        4.783173E-01       -4.464035E-01        2.990192E+00        1.372901E+00        4.360087E+01
    2456855.49236040        5.512140E+06        2.414037E+03        9.165945E+06        3.110096E+03       -1.061930E-01        3.395538E-01        1.268306E+00        3.213158E+00        1.371327E+00        4.358539E+01
    2456855.49264379        5.510030E+06        2.413533E+03        9.171337E+06        3.111119E+03        6.386384E-02        1.768341E-01       -6.614223E-01        3.062332E+00        1.369823E+00        4.356969E+01
    2456855.49292755        5.508953E+06        2.413315E+03        9.190587E+06        3.114288E+03       -2.056197E-01        2.857208E-01       -2.395482E-01        2.925460E+00        1.368264E+00        4.355342E+01
    2456855.49321095        5.513343E+06        2.414277E+03        9.201511E+06        3.116133E+03        4.144069E-02        3.217010E-01       -1.996818E-01        2.997069E+00        1.366776E+00        4.353686E+01
    2456855.49349452        5.511672E+06        2.413879E+03        9.168705E+06        3.110679E+03       -2.227045E-02        4.883270E-01        1.225479E+00        3.065397E+00        1.365234E+00        4.351990E+01
    2456855.49377789        5.504892E+06        2.412444E+03        9.180780E+06        3.112612E+03       -2.978637E-01        2.376556E-01        1.010111E+00        3.200246E+00        1.363760E+00        4.350243E+01
    2456855.49406146        5.509761E+06        2.413488E+03        9.183389E+06        3.113187E+03        2.337543E-01        4.076996E-01       -7.242346E-02        2.913328E+00        1.362234E+00        4.348456E+01
    2456855.49434508        5.510811E+06        2.413730E+03        9.158015E+06        3.108768E+03       -5.524070E-01        4.257050E-01        1.089043E+00        3.070939E+00        1.360775E+00        4.346630E+01
