# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456895.36502830        1.839775E+06        1.392844E+03        2.993528E+06        1.775686E+03       -6.981971E-02        3.267212E-01       -3.913698E-01        4.406556E+00        1.483439E+00        4.379752E+01
    2456895.36626013        1.838532E+06        1.392470E+03        2.987112E+06        1.773973E+03       -1.086046E-01        8.712769E-02       -2.038021E-01        5.468318E+00        1.474317E+00        4.382612E+01
    2456895.36665386        1.836389E+06        1.391919E+03        2.989606E+06        1.774628E+03       -1.199396E-01        7.254028E-02        1.884209E+00        5.109525E+00        1.471461E+00        4.383389E+01
    2456895.36699024        1.833299E+06        1.390414E+03        2.991401E+06        1.775277E+03       -1.789965E-02        7.083130E-02        1.732995E+00        4.541430E+00        1.469041E+00        4.384003E+01
    2456895.36732106        1.837981E+06        1.392543E+03        2.987202E+06        1.773999E+03       -2.326096E-01        1.271973E-01       -6.247859E-01        4.345655E+00        1.466723E+00        4.384561E+01
    2456895.36765383        1.833726E+06        1.390632E+03        2.989583E+06        1.774631E+03       -6.923618E-02       -1.087646E-01        1.696269E+00        5.152331E+00        1.464331E+00        4.385075E+01
    2456895.36798675        1.831616E+06        1.389855E+03        2.990864E+06        1.775154E+03       -6.027971E-02        1.896362E-01        5.338192E-02        4.728590E+00        1.461955E+00        4.385542E+01
    2456895.36832141        1.836048E+06        1.391518E+03        2.991278E+06        1.775254E+03       -1.069260E-01        1.111755E-01        2.357918E+00        5.197414E+00        1.459592E+00        4.385966E+01
    2456895.36865418        1.832804E+06        1.390557E+03        2.990252E+06        1.774982E+03       -1.502821E-01        8.773804E-02        8.557377E-01        5.187813E+00        1.457324E+00        4.386339E+01
    2456895.36898673        1.836762E+06        1.391789E+03        2.990888E+06        1.775054E+03       -2.596158E-01        3.173523E-01        1.327295E+00        4.917982E+00        1.454989E+00        4.386668E+01
    2456895.36931987        1.838494E+06        1.392469E+03        2.990769E+06        1.775145E+03       -1.156197E-01        1.668091E-01        1.023698E-01        5.190964E+00        1.452669E+00        4.386946E+01
    2456895.36965221        1.836083E+06        1.391605E+03        2.989610E+06        1.774635E+03        2.977454E-02       -2.600098E-02       -3.027225E-01        4.943665E+00        1.450362E+00        4.387178E+01
    2456895.36998303        1.837021E+06        1.392016E+03        2.994149E+06        1.776121E+03       -3.482898E-01        2.915344E-01        1.282512E+00        5.172130E+00        1.448148E+00        4.387359E+01
    2456895.37031577        1.838772E+06        1.392676E+03        2.997751E+06        1.777202E+03       -1.399954E-01        1.137695E-01        6.857809E+00        4.710924E+00        1.445869E+00        4.387490E+01
    2456895.37064855        1.840391E+06        1.393393E+03        2.994947E+06        1.776358E+03       -1.209598E-01        9.808350E-02        1.997283E+00        5.195209E+00        1.443603E+00        4.387575E+01
    2456895.37098685        1.837733E+06        1.392257E+03        2.991267E+06        1.775285E+03       -8.078615E-02        3.483887E-01       -8.016896E-01        5.156708E+00        1.441351E+00        4.387614E+01
    2456895.37131978        1.838728E+06        1.392594E+03        2.998381E+06        1.777364E+03       -1.135270E-01        6.970215E-02        2.589566E+01        5.099289E+00        1.439112E+00        4.387601E+01
