# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456895.36502830        1.529768E+06        1.270605E+03        2.570441E+06        1.645347E+03       -6.981971E-02        2.041016E-01       -3.913698E-01        4.732765E+00        1.483439E+00        4.379752E+01
    2456895.36626013        1.529391E+06        1.270443E+03        2.570576E+06        1.645820E+03       -1.086046E-01       -1.156616E-02       -2.038021E-01        5.668719E+00        1.474317E+00        4.382612E+01
    2456895.36665386        1.525696E+06        1.269152E+03        2.566311E+06        1.644202E+03       -1.199396E-01       -2.957153E-02        1.884209E+00        5.373667E+00        1.471461E+00        4.383389E+01
    2456895.36699024        1.526828E+06        1.269404E+03        2.568828E+06        1.645321E+03       -1.789965E-02       -4.660034E-02        1.732995E+00        4.841428E+00        1.469041E+00        4.384003E+01
    2456895.36732106        1.527083E+06        1.269725E+03        2.572187E+06        1.646295E+03       -2.326096E-01        2.294922E-02       -6.247859E-01        4.640964E+00        1.466723E+00        4.384561E+01
    2456895.36765383        1.526763E+06        1.269370E+03        2.566505E+06        1.644520E+03       -6.923618E-02       -2.132874E-01        1.696269E+00        5.370953E+00        1.464331E+00        4.385075E+01
    2456895.36798675        1.526405E+06        1.269268E+03        2.570349E+06        1.645791E+03       -6.027971E-02        8.743286E-02        5.338192E-02        5.028152E+00        1.461955E+00        4.385542E+01
    2456895.36832141        1.524372E+06        1.268352E+03        2.569261E+06        1.645438E+03       -1.069260E-01        4.852295E-03        2.357918E+00        5.443608E+00        1.459592E+00        4.385966E+01
    2456895.36865418        1.528092E+06        1.270240E+03        2.570150E+06        1.645724E+03       -1.502821E-01       -6.652832E-03        8.557377E-01        5.433058E+00        1.457324E+00        4.386339E+01
    2456895.36898673        1.526005E+06        1.269128E+03        2.568799E+06        1.645199E+03       -2.596158E-01        2.091370E-01        1.327295E+00        5.198369E+00        1.454989E+00        4.386668E+01
    2456895.36931987        1.528086E+06        1.270040E+03        2.569335E+06        1.645489E+03       -1.156197E-01        6.326294E-02        1.023698E-01        5.446701E+00        1.452669E+00        4.386946E+01
    2456895.36965221        1.527323E+06        1.269662E+03        2.567083E+06        1.644698E+03        2.977454E-02       -1.406555E-01       -3.027225E-01        5.275577E+00        1.450362E+00        4.387178E+01
    2456895.36998303        1.529374E+06        1.270533E+03        2.570700E+06        1.645823E+03       -3.482898E-01        2.016907E-01        1.282512E+00        5.418203E+00        1.448148E+00        4.387359E+01
    2456895.37031577        1.529385E+06        1.270584E+03        2.573068E+06        1.646604E+03       -1.399954E-01        1.760864E-02        6.857809E+00        5.022325E+00        1.445869E+00        4.387490E+01
    2456895.37064855        1.529453E+06        1.270715E+03        2.574533E+06        1.647092E+03       -1.209598E-01        8.453369E-03        1.997283E+00        5.434698E+00        1.443603E+00        4.387575E+01
    2456895.37098685        1.526871E+06        1.269469E+03        2.570881E+06        1.646019E+03       -8.078615E-02        2.525940E-01       -8.016896E-01        5.377396E+00        1.441351E+00        4.387614E+01
    2456895.37131978        1.524710E+06        1.268635E+03        2.571027E+06        1.645971E+03       -1.135270E-01       -2.297974E-02        2.589566E+01        5.355854E+00        1.439112E+00        4.387601E+01
    2456895.37165446        1.528000E+06        1.269974E+03        2.573925E+06        1.646977E+03        9.962504E-02        2.872620E-01       -3.468328E-01        5.078186E+00        1.436887E+00        4.387536E+01
    2456895.37198509        1.528831E+06        1.270395E+03        2.570496E+06        1.645888E+03       -2.280880E-01        4.113770E-02        2.218342E-01        5.094284E+00        1.434751E+00        4.387425E+01
    2456895.37231784        1.530902E+06        1.271164E+03        2.573058E+06        1.646647E+03        4.693517E-02       -1.165161E-01        2.130559E+00        5.143466E+00        1.432553E+00        4.387260E+01
    2456895.37265096        1.530285E+06        1.270889E+03        2.574794E+06        1.647207E+03       -1.894097E-01        1.165771E-02        4.636354E-01        5.260460E+00        1.430367E+00        4.387051E+01
    2456895.37298545        1.526993E+06        1.269530E+03        2.571897E+06        1.646345E+03        2.293296E-02       -1.716309E-01        4.966394E+00        5.045758E+00        1.428195E+00        4.386789E+01
    2456895.37331838        1.525624E+06        1.268964E+03        2.576816E+06        1.647807E+03       -7.180522E-02        2.696228E-01        1.601629E+00        5.161198E+00        1.426109E+00        4.386480E+01
    2456895.37365132        1.527292E+06        1.269598E+03        2.573275E+06        1.646711E+03       -1.401384E-02       -3.961182E-02       -1.300457E+00        5.535703E+00        1.423963E+00        4.386117E+01
    2456895.37417448        1.528077E+06        1.269925E+03        2.575691E+06        1.647628E+03       -1.046335E-01        7.760620E-02       -5.271769E-02        5.031806E+00        1.420657E+00        4.385445E+01
    2456895.37472903        1.528823E+06        1.270310E+03        2.568480E+06        1.645213E+03       -8.801278E-02       -3.906250E-02        3.399501E+00        5.304115E+00        1.417165E+00        4.384596E+01
    2456895.37507972        1.524313E+06        1.268541E+03        2.571631E+06        1.646193E+03       -1.889741E-01        9.869385E-02        1.418770E+00        4.906288E+00        1.414928E+00        4.383983E+01
    2456895.37541188        1.525993E+06        1.269169E+03        2.573176E+06        1.646705E+03       -2.062516E-01       -1.757812E-02        6.670680E+00        5.020966E+00        1.412920E+00        4.383357E+01
    2456895.37568446        1.526661E+06        1.269381E+03        2.575605E+06        1.647371E+03       -2.601689E-01       -8.950806E-02       -3.440328E-01        4.656908E+00        1.411210E+00        4.382802E+01
    2456895.37595643        1.528380E+06        1.270077E+03        2.570117E+06        1.645684E+03       -6.651378E-02        1.129761E-01        3.104831E+00        5.355769E+00        1.409577E+00        4.382206E+01
    2456895.37622821        1.525994E+06        1.269088E+03        2.569573E+06        1.645579E+03        6.214126E-02        6.448364E-02       -3.335528E-01        5.645579E+00        1.407881E+00        4.381583E+01
    2456895.37650019        1.523730E+06        1.268209E+03        2.568940E+06        1.645291E+03        1.257964E-01        1.308289E-01        4.941345E+00        5.659911E+00        1.406264E+00        4.380927E+01
    2456895.37677219        1.523935E+06        1.268211E+03        2.568717E+06        1.645221E+03        9.818917E-06        1.142273E-01        3.091984E-01        5.159685E+00        1.404585E+00        4.380231E+01
    2456895.37704417        1.525335E+06        1.268923E+03        2.572471E+06        1.646431E+03        5.832003E-02        1.459045E-01       -1.443224E-01        5.512827E+00        1.402984E+00        4.379503E+01
    2456895.37731615        1.525975E+06        1.269125E+03        2.570962E+06        1.645938E+03       -1.411206E-01       -9.011841E-02        8.626089E-01        5.424076E+00        1.401322E+00        4.378737E+01
    2456895.37758813        1.521127E+06        1.267125E+03        2.564705E+06        1.643969E+03       -2.189951E-01       -2.822876E-02       -7.184186E-01        5.163935E+00        1.399736E+00        4.377938E+01
    2456895.37786108        1.523966E+06        1.268298E+03        2.564864E+06        1.643905E+03        1.644913E-01        3.698425E-01       -9.915733E-01        4.787732E+00        1.398091E+00        4.377097E+01
    2456895.37813306        1.521731E+06        1.267389E+03        2.564606E+06        1.643991E+03       -1.222729E-01        2.185059E-02        5.974216E-01        5.093520E+00        1.396520E+00        4.376222E+01
    2456895.37840506        1.518584E+06        1.266008E+03        2.568182E+06        1.645051E+03       -6.361788E-02       -1.470947E-02        1.347775E-01        4.898539E+00        1.394890E+00        4.375316E+01
    2456895.37867703        1.518797E+06        1.266182E+03        2.560637E+06        1.642626E+03       -1.349628E-01        1.812134E-01        6.060700E-01        5.301317E+00        1.393336E+00        4.374367E+01
    2456895.37894902        1.521883E+06        1.267389E+03        2.565415E+06        1.644146E+03       -7.630767E-02        2.682495E-02        1.378098E-01        4.950225E+00        1.391722E+00        4.373390E+01
    2456895.37922100        1.521501E+06        1.267232E+03        2.568772E+06        1.645373E+03       -6.594793E-02        2.672729E-01        3.278061E+00        5.124638E+00        1.390185E+00        4.372372E+01
    2456895.37949299        1.523942E+06        1.268310E+03        2.570245E+06        1.645804E+03       -9.427012E-02        1.679382E-01       -2.574897E-01        4.782516E+00        1.388587E+00        4.371320E+01
    2456895.37976497        1.523143E+06        1.267931E+03        2.571521E+06        1.646133E+03       -1.421400E-01        1.790771E-01        1.883433E+00        5.157190E+00        1.387062E+00        4.370228E+01
    2456895.38003695        1.524138E+06        1.268366E+03        2.567217E+06        1.644713E+03       -1.083419E-02        9.777832E-02        1.907284E+00        5.064528E+00        1.385480E+00        4.369105E+01
    2456895.38030896        1.522114E+06        1.267497E+03        2.568942E+06        1.645253E+03       -1.375430E-01       -7.843018E-03       -6.900420E-01        5.003308E+00        1.383970E+00        4.367938E+01
    2456895.38058090        1.525849E+06        1.269045E+03        2.571049E+06        1.646037E+03       -2.086339E-01       -1.807861E-01       -3.717613E-02        5.137099E+00        1.382402E+00        4.366743E+01
    2456895.38085288        1.521991E+06        1.267502E+03        2.572589E+06        1.646448E+03       -4.472479E-02        9.756470E-02       -2.848992E-01        4.965242E+00        1.380908E+00        4.365502E+01
    2456895.38112490        1.527138E+06        1.269584E+03        2.566496E+06        1.644495E+03       -1.702600E-01        1.465454E-01        1.372387E+00        4.698098E+00        1.379356E+00        4.364236E+01
    2456895.38139686        1.522038E+06        1.267523E+03        2.574328E+06        1.647042E+03       -1.179498E-01        2.929688E-03       -3.093591E-01        4.710037E+00        1.377876E+00        4.362919E+01
    2456895.38166884        1.523587E+06        1.268120E+03        2.569169E+06        1.645368E+03       -1.590205E-01        2.319031E-01       -3.102093E-01        5.130473E+00        1.376339E+00        4.361577E+01
    2456895.38194082        1.522320E+06        1.267657E+03        2.568396E+06        1.645140E+03        2.889851E-02        1.180420E-01        4.691887E-02        5.303063E+00        1.374874E+00        4.360182E+01
    2456895.38221281        1.524723E+06        1.268518E+03        2.563679E+06        1.643667E+03       -2.169053E-02        1.566162E-01        2.777582E+00        4.969887E+00        1.373352E+00        4.358766E+01
    2456895.38248517        1.521953E+06        1.267443E+03        2.570063E+06        1.645676E+03       -6.741492E-02        2.764893E-01       -7.769923E-01        4.871629E+00        1.371838E+00        4.357300E+01
    2456895.38275716        1.520875E+06        1.267009E+03        2.568210E+06        1.644791E+03       -3.043605E-01        5.075073E-02       -4.297514E-01        5.342476E+00        1.370393E+00        4.355795E+01
    2456895.38302918        1.519405E+06        1.266463E+03        2.571669E+06        1.646132E+03       -1.584522E-01        8.059692E-02        2.783909E+00        5.107837E+00        1.368894E+00        4.354264E+01
    2456895.38330112        1.521886E+06        1.267371E+03        2.570638E+06        1.645920E+03       -8.215546E-03        2.772827E-01        3.162645E+00        5.461634E+00        1.367465E+00        4.352681E+01
    2456895.38357485        1.522552E+06        1.267858E+03        2.565060E+06        1.644087E+03       -1.248350E-01        8.239746E-02        6.640439E-01        5.394297E+00        1.365980E+00        4.351061E+01
    2456895.38384493        1.524458E+06        1.268474E+03        2.568921E+06        1.645411E+03       -8.470058E-02        9.197998E-02       -1.326416E+00        5.926871E+00        1.364564E+00        4.349417E+01
    2456895.38411688        1.527287E+06        1.269555E+03        2.574552E+06        1.647044E+03        8.396442E-02        2.809448E-01       -3.770933E-01        5.115811E+00        1.363095E+00        4.347729E+01
    2456895.38438886        1.525294E+06        1.268771E+03        2.573972E+06        1.646869E+03        8.480849E-02        1.283569E-01       -2.452068E-01        5.306077E+00        1.361693E+00        4.345996E+01
    2456895.38466084        1.527498E+06        1.269822E+03        2.573030E+06        1.646613E+03       -2.327090E-01        1.760254E-01        2.429624E-01        5.266432E+00        1.360237E+00        4.344236E+01
    2456895.38493283        1.523555E+06        1.268143E+03        2.569961E+06        1.645723E+03        3.261853E-02        1.647034E-01        5.934381E-01        5.300222E+00        1.358849E+00        4.342420E+01
    2456895.38520481        1.526915E+06        1.269453E+03        2.571183E+06        1.646074E+03       -1.595516E-01        2.326965E-01       -1.994138E-01        5.729148E+00        1.357408E+00        4.340584E+01
    2456895.38547680        1.526135E+06        1.269173E+03        2.572249E+06        1.646278E+03       -8.327047E-02        8.209229E-03        3.554168E-01        5.321131E+00        1.356034E+00        4.338689E+01
    2456895.38574880        1.527014E+06        1.269605E+03        2.578353E+06        1.648295E+03       -4.279052E-02        1.651001E-01        1.062911E+00        5.494766E+00        1.354607E+00        4.336775E+01
    2456895.38602077        1.525155E+06        1.268777E+03        2.572838E+06        1.646585E+03        1.872491E-02        4.513550E-02        3.636337E+00        5.408075E+00        1.353246E+00        4.334801E+01
    2456895.38629275        1.527128E+06        1.269595E+03        2.570462E+06        1.645324E+03       -2.617157E-01        9.539795E-02       -2.262988E-01        5.326128E+00        1.351833E+00        4.332809E+01
    2456895.38656495        1.528775E+06        1.270421E+03        2.576517E+06        1.647589E+03       -7.896486E-02        3.329163E-01        8.369102E-01        5.318814E+00        1.350486E+00        4.330758E+01
    2456895.38683689        1.527206E+06        1.269623E+03        2.577817E+06        1.648043E+03       -1.437252E-01        1.571960E-01       -7.474194E-01        4.752424E+00        1.349087E+00        4.328682E+01
    2456895.38710888        1.529730E+06        1.270684E+03        2.574862E+06        1.646952E+03        3.927926E-02        9.136963E-02        4.442082E+00        4.857796E+00        1.347754E+00        4.326544E+01
    2456895.38738106        1.528641E+06        1.270228E+03        2.580360E+06        1.648945E+03        3.574718E-02        1.951904E-01       -5.946269E-01        5.623329E+00        1.346368E+00        4.324394E+01
    2456895.38765478        1.530844E+06        1.271119E+03        2.579316E+06        1.648556E+03       -2.143444E-01        1.656494E-01        7.439728E-01        5.409889E+00        1.345047E+00        4.322182E+01
    2456895.38792677        1.525767E+06        1.269008E+03        2.574363E+06        1.647044E+03       -1.047870E-01       -1.119995E-02        3.449154E-01        5.756900E+00        1.343676E+00        4.319929E+01
