# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456895.36502830        2.157879E+06        1.508495E+03        3.493533E+06        1.918082E+03       -6.981971E-02        3.185120E-01       -3.913698E-01        4.426160E+00        1.483439E+00        4.379752E+01
    2456895.36626013        2.155612E+06        1.507824E+03        3.488676E+06        1.917131E+03       -1.086046E-01        7.748413E-02       -2.038021E-01        5.468717E+00        1.474317E+00        4.382612E+01
    2456895.36665386        2.153153E+06        1.507230E+03        3.488760E+06        1.916917E+03       -1.199396E-01        6.906128E-02        1.884209E+00        5.126120E+00        1.471461E+00        4.383389E+01
    2456895.36699024        2.151685E+06        1.506360E+03        3.492352E+06        1.918147E+03       -1.789965E-02        5.963135E-02        1.732995E+00        4.533211E+00        1.469041E+00        4.384003E+01
    2456895.36732106        2.155369E+06        1.507996E+03        3.492388E+06        1.918124E+03       -2.326096E-01        1.193848E-01       -6.247859E-01        4.356762E+00        1.466723E+00        4.384561E+01
    2456895.36765383        2.152320E+06        1.506592E+03        3.488658E+06        1.917076E+03       -6.923618E-02       -1.160889E-01        1.696269E+00        5.150224E+00        1.464331E+00        4.385075E+01
    2456895.36798675        2.151419E+06        1.506309E+03        3.490589E+06        1.917729E+03       -6.027971E-02        1.785889E-01        5.338192E-02        4.741668E+00        1.461955E+00        4.385542E+01
    2456895.36832141        2.153762E+06        1.507154E+03        3.490823E+06        1.917798E+03       -1.069260E-01        1.051025E-01        2.357918E+00        5.203994E+00        1.459592E+00        4.385966E+01
    2456895.36865418        2.150261E+06        1.506198E+03        3.489796E+06        1.917449E+03       -1.502821E-01        8.425903E-02        8.557377E-01        5.191895E+00        1.457324E+00        4.386339E+01
    2456895.36898673        2.154888E+06        1.507555E+03        3.490192E+06        1.917514E+03       -2.596158E-01        3.053589E-01        1.327295E+00        4.955745E+00        1.454989E+00        4.386668E+01
    2456895.36931987        2.155524E+06        1.507788E+03        3.488836E+06        1.917222E+03       -1.156197E-01        1.622925E-01        1.023698E-01        5.193012E+00        1.452669E+00        4.386946E+01
    2456895.36965221        2.151134E+06        1.506304E+03        3.489367E+06        1.917235E+03        2.977454E-02       -3.366089E-02       -3.027225E-01        4.946064E+00        1.450362E+00        4.387178E+01
    2456895.36998303        2.153842E+06        1.507210E+03        3.491656E+06        1.917992E+03       -3.482898E-01        2.879639E-01        1.282512E+00        5.179568E+00        1.448148E+00        4.387359E+01
    2456895.37031577        2.154189E+06        1.507393E+03        3.498043E+06        1.919761E+03       -1.399954E-01        1.080627E-01        6.857809E+00        4.722062E+00        1.445869E+00        4.387490E+01
    2456895.37064855        2.157354E+06        1.508665E+03        3.497821E+06        1.919679E+03       -1.209598E-01        9.469604E-02        1.997283E+00        5.205184E+00        1.443603E+00        4.387575E+01
    2456895.37098685        2.157386E+06        1.508543E+03        3.491638E+06        1.918025E+03       -8.078615E-02        3.409729E-01       -8.016896E-01        5.162364E+00        1.441351E+00        4.387614E+01
    2456895.37131978        2.158140E+06        1.508753E+03        3.500033E+06        1.920283E+03       -1.135270E-01        6.066895E-02        2.589566E+01        5.115142E+00        1.439112E+00        4.387601E+01
    2456895.37165446        2.155706E+06        1.507973E+03        3.499981E+06        1.920298E+03        9.962504E-02        3.769836E-01       -3.468328E-01        4.821595E+00        1.436887E+00        4.387536E+01
    2456895.37198509        2.157666E+06        1.508550E+03        3.496248E+06        1.919292E+03       -2.280880E-01        1.264038E-01        2.218342E-01        4.864083E+00        1.434751E+00        4.387425E+01
    2456895.37231784        2.159652E+06        1.509216E+03        3.500590E+06        1.920492E+03        4.693517E-02       -2.645874E-02        2.130559E+00        4.903589E+00        1.432553E+00        4.387260E+01
    2456895.37265096        2.160464E+06        1.509554E+03        3.499340E+06        1.920144E+03       -1.894097E-01        1.067200E-01        4.636354E-01        5.016809E+00        1.430367E+00        4.387051E+01
    2456895.37298545        2.154227E+06        1.507397E+03        3.493932E+06        1.918623E+03        2.293296E-02       -8.154297E-02        4.966394E+00        4.843293E+00        1.428195E+00        4.386789E+01
    2456895.37331838        2.153325E+06        1.507074E+03        3.496250E+06        1.919272E+03       -7.180522E-02        3.478394E-01        1.601629E+00        4.937793E+00        1.426109E+00        4.386480E+01
    2456895.37365132        2.157973E+06        1.508605E+03        3.491786E+06        1.917982E+03       -1.401384E-02        4.504395E-02       -1.300457E+00        5.314672E+00        1.423963E+00        4.386117E+01
    2456895.37417448        2.155670E+06        1.507850E+03        3.501039E+06        1.920655E+03       -1.046335E-01        1.560669E-01       -5.271769E-02        4.803635E+00        1.420657E+00        4.385445E+01
    2456895.37472903        2.158277E+06        1.508797E+03        3.494093E+06        1.918671E+03       -8.801278E-02        4.452515E-02        3.399501E+00        5.082124E+00        1.417165E+00        4.384596E+01
    2456895.37507972        2.157996E+06        1.508710E+03        3.491684E+06        1.917948E+03       -1.889741E-01        1.892700E-01        1.418770E+00        4.637325E+00        1.414928E+00        4.383983E+01
    2456895.37541188        2.159748E+06        1.509317E+03        3.493106E+06        1.918476E+03       -2.062516E-01        7.608032E-02        6.670680E+00        4.753786E+00        1.412920E+00        4.383357E+01
    2456895.37568446        2.152912E+06        1.506920E+03        3.497466E+06        1.919586E+03       -2.601689E-01        4.882812E-04       -3.440328E-01        4.383372E+00        1.411210E+00        4.382802E+01
    2456895.37595643        2.152534E+06        1.506786E+03        3.495311E+06        1.919005E+03       -6.651378E-02        1.945801E-01        3.104831E+00        5.124852E+00        1.409577E+00        4.382206E+01
    2456895.37622821        2.156404E+06        1.508079E+03        3.492587E+06        1.918253E+03        6.214126E-02        1.444397E-01       -3.335528E-01        5.457363E+00        1.407881E+00        4.381583E+01
    2456895.37650019        2.150036E+06        1.505929E+03        3.488607E+06        1.917168E+03        1.257964E-01        2.125244E-01        4.941345E+00        5.454303E+00        1.406264E+00        4.380927E+01
    2456895.37677219        2.153532E+06        1.507117E+03        3.492410E+06        1.918135E+03        9.818917E-06        1.942139E-01        3.091984E-01        4.881137E+00        1.404585E+00        4.380231E+01
    2456895.37704417        2.152692E+06        1.506746E+03        3.489242E+06        1.917291E+03        5.832003E-02        2.195129E-01       -1.443224E-01        5.294526E+00        1.402984E+00        4.379503E+01
    2456895.37731615        2.153598E+06        1.507082E+03        3.493503E+06        1.918474E+03       -1.411206E-01       -8.697510E-03        8.626089E-01        5.201813E+00        1.401322E+00        4.378737E+01
    2456895.37758813        2.147244E+06        1.504970E+03        3.486524E+06        1.916503E+03       -2.189951E-01        6.317139E-02       -7.184186E-01        4.892726E+00        1.399736E+00        4.377938E+01
    2456895.37786108        2.146791E+06        1.504784E+03        3.485781E+06        1.916250E+03        1.644913E-01        4.499512E-01       -9.915733E-01        4.497624E+00        1.398091E+00        4.377097E+01
