# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456895.36502830        1.028496E+06        1.044377E+03        1.932556E+06        1.428188E+03       -6.981971E-02        1.020111E+00       -3.913698E-01        5.141195E+00        1.483439E+00        4.379752E+01
    2456895.36626013        1.029389E+06        1.044780E+03        1.931704E+06        1.427923E+03       -1.086046E-01        8.655701E-01       -2.038021E-01        5.670824E+00        1.474317E+00        4.382612E+01
    2456895.36665386        1.027750E+06        1.043673E+03        1.928072E+06        1.426615E+03       -1.199396E-01        8.485107E-01        1.884209E+00        5.324830E+00        1.471461E+00        4.383389E+01
    2456895.36699024        1.031972E+06        1.046172E+03        1.931897E+06        1.428081E+03       -1.789965E-02        8.215637E-01        1.732995E+00        4.961609E+00        1.469041E+00        4.384003E+01
    2456895.36732106        1.030766E+06        1.045009E+03        1.933664E+06        1.428651E+03       -2.326096E-01        8.425903E-01       -6.247859E-01        4.943081E+00        1.466723E+00        4.384561E+01
    2456895.36765383        1.027411E+06        1.043726E+03        1.931007E+06        1.427594E+03       -6.923618E-02        6.620178E-01        1.696269E+00        5.396785E+00        1.464331E+00        4.385075E+01
    2456895.36798675        1.029831E+06        1.044908E+03        1.931008E+06        1.427598E+03       -6.027971E-02        9.167175E-01        5.338192E-02        5.058288E+00        1.461955E+00        4.385542E+01
    2456895.36832141        1.028101E+06        1.044074E+03        1.931377E+06        1.427875E+03       -1.069260E-01        8.624268E-01        2.357918E+00        5.398412E+00        1.459592E+00        4.385966E+01
    2456895.36865418        1.028762E+06        1.044188E+03        1.932244E+06        1.428102E+03       -1.502821E-01        8.196716E-01        8.557377E-01        5.428449E+00        1.457324E+00        4.386339E+01
    2456895.36898673        1.028182E+06        1.044187E+03        1.934960E+06        1.429078E+03       -2.596158E-01        1.062988E+00        1.327295E+00        5.241335E+00        1.454989E+00        4.386668E+01
    2456895.36931987        1.031083E+06        1.045762E+03        1.932095E+06        1.428016E+03       -1.156197E-01        8.980103E-01        1.023698E-01        5.456357E+00        1.452669E+00        4.386946E+01
