# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#            BJD_TDB               F_sci             e_F_sci               F_ref             e_F_ref               Pos_X               Pos_Y              FWHM_X              FWHM_Y                Airm              RotAng
    2456895.36502830        4.697682E+06        2.228714E+03        7.716368E+06        2.852412E+03       -6.981971E-02        9.436646E-01       -3.913698E-01        5.056385E+00        1.483439E+00        4.379752E+01
    2456895.36626013        4.695235E+06        2.228218E+03        7.720349E+06        2.853708E+03       -1.086046E-01        7.674255E-01       -2.038021E-01        5.703090E+00        1.474317E+00        4.382612E+01
    2456895.36665386        4.694366E+06        2.228138E+03        7.716655E+06        2.852766E+03       -1.199396E-01        7.595520E-01        1.884209E+00        5.342398E+00        1.471461E+00        4.383389E+01
    2456895.36699024        4.700399E+06        2.229409E+03        7.717658E+06        2.853295E+03       -1.789965E-02        7.387085E-01        1.732995E+00        4.948278E+00        1.469041E+00        4.384003E+01
    2456895.36732106        4.695567E+06        2.228316E+03        7.722420E+06        2.854082E+03       -2.326096E-01        7.563477E-01       -6.247859E-01        4.991887E+00        1.466723E+00        4.384561E+01
    2456895.36765383        4.696955E+06        2.228559E+03        7.707526E+06        2.851296E+03       -6.923618E-02        5.433350E-01        1.696269E+00        5.438355E+00        1.464331E+00        4.385075E+01
    2456895.36798675        4.698114E+06        2.228861E+03        7.718593E+06        2.853513E+03       -6.027971E-02        8.390198E-01        5.338192E-02        5.069128E+00        1.461955E+00        4.385542E+01
    2456895.36832141        4.692143E+06        2.227470E+03        7.718459E+06        2.853420E+03       -1.069260E-01        7.807007E-01        2.357918E+00        5.494536E+00        1.459592E+00        4.385966E+01
    2456895.36865418        4.692301E+06        2.227678E+03        7.720300E+06        2.853799E+03       -1.502821E-01        7.337341E-01        8.557377E-01        5.448764E+00        1.457324E+00        4.386339E+01
    2456895.36898673        4.693346E+06        2.227852E+03        7.725743E+06        2.854713E+03       -2.596158E-01        9.859009E-01        1.327295E+00        5.254100E+00        1.454989E+00        4.386668E+01
    2456895.36931987        4.700831E+06        2.229608E+03        7.719956E+06        2.853715E+03       -1.156197E-01        8.182068E-01        1.023698E-01        5.491962E+00        1.452669E+00        4.386946E+01
    2456895.36965221        4.696281E+06        2.228475E+03        7.718188E+06        2.853312E+03        2.977454E-02        5.816956E-01       -3.027225E-01        5.459077E+00        1.450362E+00        4.387178E+01
    2456895.36998303        4.703567E+06        2.230257E+03        7.722060E+06        2.854087E+03       -3.482898E-01        9.512329E-01        1.282512E+00        5.413057E+00        1.448148E+00        4.387359E+01
    2456895.37031577        4.702148E+06        2.229902E+03        7.731980E+06        2.855950E+03       -1.399954E-01        7.591248E-01        6.857809E+00        5.063547E+00        1.445869E+00        4.387490E+01
    2456895.37064855        4.705472E+06        2.230853E+03        7.737473E+06        2.856983E+03       -1.209598E-01        7.288818E-01        1.997283E+00        5.473942E+00        1.443603E+00        4.387575E+01
    2456895.37098685        4.703935E+06        2.230295E+03        7.727103E+06        2.854956E+03       -8.078615E-02        9.914551E-01       -8.016896E-01        5.390571E+00        1.441351E+00        4.387614E+01
    2456895.37131978        4.699429E+06        2.229325E+03        7.732990E+06        2.856047E+03       -1.135270E-01        7.061462E-01        2.589566E+01        5.318558E+00        1.439112E+00        4.387601E+01
    2456895.37165446        4.705744E+06        2.230787E+03        7.737725E+06        2.856990E+03        9.962504E-02        9.933167E-01       -3.468328E-01        5.175337E+00        1.436887E+00        4.387536E+01
    2456895.37198509        4.707801E+06        2.231179E+03        7.725021E+06        2.854716E+03       -2.280880E-01        7.822876E-01        2.218342E-01        5.127274E+00        1.434751E+00        4.387425E+01
    2456895.37231784        4.711333E+06        2.232022E+03        7.739573E+06        2.857365E+03        4.693517E-02        6.102905E-01        2.130559E+00        5.182421E+00        1.432553E+00        4.387260E+01
    2456895.37265096        4.712964E+06        2.232408E+03        7.746200E+06        2.858455E+03       -1.894097E-01        7.331543E-01        4.636354E-01        5.308791E+00        1.430367E+00        4.387051E+01
    2456895.37298545        4.707112E+06        2.231078E+03        7.734039E+06        2.856252E+03        2.293296E-02        5.491028E-01        4.966394E+00        5.033544E+00        1.428195E+00        4.386789E+01
    2456895.37331838        4.704386E+06        2.230419E+03        7.747574E+06        2.858709E+03       -7.180522E-02        9.820557E-01        1.601629E+00        5.139840E+00        1.426109E+00        4.386480E+01
    2456895.37365132        4.711047E+06        2.232025E+03        7.750842E+06        2.859366E+03       -1.401384E-02        6.807556E-01       -1.300457E+00        5.548933E+00        1.423963E+00        4.386117E+01
    2456895.37417448        4.712235E+06        2.232277E+03        7.751273E+06        2.859418E+03       -1.046335E-01        7.669067E-01       -5.271769E-02        5.035885E+00        1.420657E+00        4.385445E+01
    2456895.37472903        4.709848E+06        2.231680E+03        7.735297E+06        2.856678E+03       -8.801278E-02        6.560364E-01        3.399501E+00        5.378852E+00        1.417165E+00        4.384596E+01
    2456895.37507972        4.709218E+06        2.231535E+03        7.737871E+06        2.856848E+03       -1.889741E-01        7.839661E-01        1.418770E+00        5.111905E+00        1.414928E+00        4.383983E+01
    2456895.37541188        4.715501E+06        2.233073E+03        7.743630E+06        2.858022E+03       -2.062516E-01        6.404419E-01        6.670680E+00        5.180485E+00        1.412920E+00        4.383357E+01
    2456895.37568446        4.716490E+06        2.233221E+03        7.759305E+06        2.860872E+03       -2.601689E-01        5.796814E-01       -3.440328E-01        4.924724E+00        1.411210E+00        4.382802E+01
    2456895.37595643        4.710220E+06        2.231842E+03        7.745943E+06        2.858410E+03       -6.651378E-02        7.924194E-01        3.104831E+00        5.405336E+00        1.409577E+00        4.382206E+01
    2456895.37622821        4.708775E+06        2.231285E+03        7.745547E+06        2.858328E+03        6.214126E-02        7.401733E-01       -3.335528E-01        5.722606E+00        1.407881E+00        4.381583E+01
    2456895.37650019        4.710797E+06        2.231932E+03        7.741503E+06        2.857577E+03        1.257964E-01        8.226013E-01        4.941345E+00        5.661398E+00        1.406264E+00        4.380927E+01
    2456895.37677219        4.702496E+06        2.229961E+03        7.743095E+06        2.857993E+03        9.818917E-06        7.545166E-01        3.091984E-01        5.405195E+00        1.404585E+00        4.380231E+01
    2456895.37704417        4.708393E+06        2.231272E+03        7.748780E+06        2.858872E+03        5.832003E-02        8.103638E-01       -1.443224E-01        5.597549E+00        1.402984E+00        4.379503E+01
    2456895.37731615        4.708732E+06        2.231457E+03        7.741099E+06        2.857628E+03       -1.411206E-01        5.695496E-01        8.626089E-01        5.435022E+00        1.401322E+00        4.378737E+01
    2456895.37758813        4.705133E+06        2.230578E+03        7.737061E+06        2.856751E+03       -2.189951E-01        6.220398E-01       -7.184186E-01        5.211971E+00        1.399736E+00        4.377938E+01
    2456895.37786108        4.705231E+06        2.230578E+03        7.725549E+06        2.854708E+03        1.644913E-01        1.015350E+00       -9.915733E-01        4.931460E+00        1.398091E+00        4.377097E+01
    2456895.37813306        4.703343E+06        2.230180E+03        7.731213E+06        2.855772E+03       -1.222729E-01        6.845703E-01        5.974216E-01        5.150740E+00        1.396520E+00        4.376222E+01
    2456895.37840506        4.700969E+06        2.229534E+03        7.729504E+06        2.855445E+03       -6.361788E-02        6.407776E-01        1.347775E-01        4.983500E+00        1.394890E+00        4.375316E+01
    2456895.37867703        4.694813E+06        2.228087E+03        7.729789E+06        2.855491E+03       -1.349628E-01        8.246155E-01        6.060700E-01        5.382587E+00        1.393336E+00        4.374367E+01
    2456895.37894902        4.697532E+06        2.228689E+03        7.732322E+06        2.855820E+03       -7.630767E-02        6.673279E-01        1.378098E-01        5.113460E+00        1.391722E+00        4.373390E+01
    2456895.37922100        4.701869E+06        2.229822E+03        7.745533E+06        2.858258E+03       -6.594793E-02        8.998718E-01        3.278061E+00        5.184182E+00        1.390185E+00        4.372372E+01
    2456895.37949299        4.708338E+06        2.231417E+03        7.744440E+06        2.858141E+03       -9.427012E-02        8.045654E-01       -2.574897E-01        4.783255E+00        1.388587E+00        4.371320E+01
    2456895.37976497        4.710539E+06        2.231843E+03        7.743406E+06        2.857849E+03       -1.421400E-01        8.312073E-01        1.883433E+00        5.203885E+00        1.387062E+00        4.370228E+01
    2456895.38003695        4.712727E+06        2.232402E+03        7.747461E+06        2.858797E+03       -1.083419E-02        7.619324E-01        1.907284E+00        5.083353E+00        1.385480E+00        4.369105E+01
    2456895.38030896        4.707868E+06        2.231175E+03        7.740705E+06        2.857493E+03       -1.375430E-01        6.315308E-01       -6.900420E-01        5.057010E+00        1.383970E+00        4.367938E+01
    2456895.38058090        4.722915E+06        2.234773E+03        7.752574E+06        2.859899E+03       -2.086339E-01        4.661560E-01       -3.717613E-02        5.127976E+00        1.382402E+00        4.366743E+01
    2456895.38085288        4.714948E+06        2.232813E+03        7.746996E+06        2.858672E+03       -4.472479E-02        7.206421E-01       -2.848992E-01        5.098630E+00        1.380908E+00        4.365502E+01
    2456895.38112490        4.713110E+06        2.232419E+03        7.755669E+06        2.860098E+03       -1.702600E-01        7.093506E-01        1.372387E+00        5.129708E+00        1.379356E+00        4.364236E+01
    2456895.38139686        4.711806E+06        2.232111E+03        7.748963E+06        2.859142E+03       -1.179498E-01        6.136475E-01       -3.093591E-01        4.815999E+00        1.377876E+00        4.362919E+01
    2456895.38166884        4.714615E+06        2.232813E+03        7.754943E+06        2.860055E+03       -1.590205E-01        8.433533E-01       -3.102093E-01        5.201080E+00        1.376339E+00        4.361577E+01
    2456895.38194082        4.717970E+06        2.233588E+03        7.753891E+06        2.859834E+03        2.889851E-02        7.227478E-01        4.691887E-02        5.382676E+00        1.374874E+00        4.360182E+01
    2456895.38221281        4.714672E+06        2.232748E+03        7.744581E+06        2.858055E+03       -2.169053E-02        7.271729E-01        2.777582E+00        5.221736E+00        1.373352E+00        4.358766E+01
    2456895.38248517        4.713687E+06        2.232533E+03        7.752266E+06        2.859594E+03       -6.741492E-02        8.792725E-01       -7.769923E-01        4.973388E+00        1.371838E+00        4.357300E+01
    2456895.38275716        4.720179E+06        2.234183E+03        7.759805E+06        2.860772E+03       -3.043605E-01        6.852417E-01       -4.297514E-01        5.294108E+00        1.370393E+00        4.355795E+01
    2456895.38302918        4.712619E+06        2.232355E+03        7.762457E+06        2.861680E+03       -1.584522E-01        6.818237E-01        2.783909E+00        5.228163E+00        1.368894E+00        4.354264E+01
    2456895.38330112        4.718016E+06        2.233577E+03        7.758534E+06        2.860805E+03       -8.215546E-03        8.702698E-01        3.162645E+00        5.594241E+00        1.367465E+00        4.352681E+01
