# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5118.87379688        2.784330E+04
       5120.91285938        2.714188E+04
       5122.95192188        2.661624E+04
       5124.99098438        2.661932E+04
       5127.03200000        2.719340E+04
       5129.07301563        2.817690E+04
       5131.11549609        2.924284E+04
       5133.15992969        2.997534E+04
       5135.20241016        3.004895E+04
       5137.24586719        2.975792E+04
       5139.29176563        2.936185E+04
       5141.33717578        2.893436E+04
       5143.38307422        2.856300E+04
       5145.43092578        2.826201E+04
       5147.47780078        2.811134E+04
       5149.52711719        2.809492E+04
       5151.57545703        2.863199E+04
       5153.62477344        2.990892E+04
       5155.67653125        3.119377E+04
       5157.72682422        3.180333E+04
       5159.77955859        3.095105E+04
       5161.83131641        2.881805E+04
       5163.88405078        2.603196E+04
       5165.93873828        2.358344E+04
       5167.99342578        2.246897E+04
       5170.04860156        2.240970E+04
       5172.10426563        2.333739E+04
       5174.16090625        2.482307E+04
       5176.21901172        2.565345E+04
       5178.27614063        2.540445E+04
       5180.33473438        2.498025E+04
       5182.39430469        2.591913E+04
       5184.45485156        2.835220E+04
       5186.51539844        3.063094E+04
       5188.57692188        3.151659E+04
       5190.63844531        3.140550E+04
       5192.70192188        3.181865E+04
       5194.76539844        3.281330E+04
       5196.82887500        3.363579E+04
       5198.89430469        3.318606E+04
       5200.95875781        3.145276E+04
       5203.02662891        2.918946E+04
       5205.09401172        2.763497E+04
       5207.16090625        2.823301E+04
       5209.22926563        3.088176E+04
       5211.29811328        3.415916E+04
       5213.36793750        3.668091E+04
       5215.43873828        3.821055E+04
       5217.50905078        3.900555E+04
       5219.58229297        3.881920E+04
       5221.65358203        3.764595E+04
       5223.72731250        3.644814E+04
       5225.80055469        3.684894E+04
       5227.87575000        3.865431E+04
       5229.95094531        4.020772E+04
       5232.02711719        4.095548E+04
       5234.10231250        4.178423E+04
       5236.18092578        4.272490E+04
       5238.25905078        4.318970E+04
       5240.33668750        4.314001E+04
       5242.41627734        4.251333E+04
       5244.49684375        4.118222E+04
       5246.57692188        3.971729E+04
       5248.65944141        3.922829E+04
       5250.74049609        3.975465E+04
       5252.82350391        4.100294E+04
       5254.90651172        4.225530E+04
       5256.99196094        4.277234E+04
       5259.07643359        4.171777E+04
       5261.16090625        3.938858E+04
       5263.24879688        3.700929E+04
       5265.33473438        3.573462E+04
       5267.42213672        3.570139E+04
       5269.51051563        3.723386E+04
       5271.60035938        4.019024E+04
       5273.68971484        4.298680E+04
       5275.78004688        4.515912E+04
       5277.87086719        4.620220E+04
       5279.96266406        4.640613E+04
       5282.05543750        4.692025E+04
       5284.14869922        4.824483E+04
       5286.24196094        4.957272E+04
       5288.33619922        5.009108E+04
       5290.43239063        4.983564E+04
       5292.52809375        4.865324E+04
       5294.62379688        4.696471E+04
       5296.72145313        4.586964E+04
       5298.81959766        4.671894E+04
       5300.91823047        4.888096E+04
       5303.01735156        5.117482E+04
       5305.11744922        5.279953E+04
       5307.21852344        5.356518E+04
       5309.31959766        5.381542E+04
       5311.42116016        5.356712E+04
       5313.52467578        5.315198E+04
       5315.62819141        5.263183E+04
       5317.73219531        5.198254E+04
       5319.83766406        5.099066E+04
       5321.94215625        4.947269E+04
       5324.04860156        4.752228E+04
       5326.15602344        4.560427E+04
       5328.26295703        4.568180E+04
       5330.37184375        4.804655E+04
       5332.48073047        5.054288E+04
       5334.59059375        5.195944E+04
       5336.70045703        5.192269E+04
       5338.81129688        5.121518E+04
       5340.92262500        5.115179E+04
       5343.03590625        5.168342E+04
       5345.14869922        5.220597E+04
       5347.26246875        5.297310E+04
       5349.37721484        5.465573E+04
       5351.49244922        5.693911E+04
       5353.60768359        5.895047E+04
       5355.72438281        6.006611E+04
       5357.84157031        6.007697E+04
       5359.95924609        5.911425E+04
       5362.07838672        5.798739E+04
       5364.19703906        5.683485E+04
       5366.31764453        5.546783E+04
       5368.43825000        5.424335E+04
       5370.55983203        5.438643E+04
       5372.68141406        5.636967E+04
       5374.80446094        5.834236E+04
       5376.92799609        5.945350E+04
       5379.05201953        5.966665E+04
       5381.17653125        5.931201E+04
       5383.30201953        5.868782E+04
       5385.42799609        5.776200E+04
       5387.55543750        5.653248E+04
       5389.68239063        5.525799E+04
       5391.81032031        5.444062E+04
       5393.94020313        5.381553E+04
       5396.06959766        5.370779E+04
       5398.19996875        5.431063E+04
       5400.33033984        5.454392E+04
       5402.46266406        5.364916E+04
       5404.59547656        5.270023E+04
       5406.72828906        5.314890E+04
       5408.86158984        5.506527E+04
       5410.99635547        5.802592E+04
       5413.13160938        6.071143E+04
       5415.26735156        6.232890E+04
       5417.40358203        6.278829E+04
       5419.54078906        6.263435E+04
       5421.67897266        6.238928E+04
       5423.81764453        6.201456E+04
       5425.95631641        6.104309E+04
