# Aperture radius = 15.5 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5159.99119922        1.708888E+04
       5162.00487109        1.683411E+04
       5164.02049609        1.629986E+04
       5166.03660937        1.550596E+04
       5168.05272266        1.462653E+04
       5170.07127734        1.382511E+04
       5172.09032031        1.335159E+04
       5174.10838672        1.321024E+04
       5176.12742969        1.325129E+04
       5178.14793750        1.344040E+04
       5180.16991016        1.370966E+04
       5182.18992969        1.408460E+04
       5184.21385547        1.454482E+04
       5186.23729297        1.517365E+04
       5188.26073047        1.601459E+04
       5190.28465625        1.682399E+04
       5192.31004687        1.758567E+04
       5194.33543750        1.808295E+04
       5196.36180469        1.827175E+04
       5198.39012500        1.832423E+04
       5200.41746875        1.794781E+04
       5202.44627734        1.728581E+04
       5204.47557422        1.653120E+04
       5206.50584766        1.605761E+04
       5208.53660937        1.612653E+04
       5210.56785937        1.695828E+04
       5212.59959766        1.839276E+04
       5214.63280078        2.011540E+04
       5216.66649219        2.164879E+04
       5218.69920703        2.269978E+04
       5220.73533984        2.326538E+04
       5222.77147266        2.346987E+04
       5224.80662891        2.349245E+04
       5226.84422656        2.336754E+04
       5228.88231250        2.342736E+04
       5230.91991016        2.378138E+04
       5232.95897266        2.443516E+04
       5234.99901172        2.517085E+04
       5237.04051562        2.570493E+04
       5239.08006641        2.607982E+04
       5241.12352344        2.632230E+04
       5243.16502734        2.628527E+04
       5245.20799609        2.606889E+04
       5247.25242969        2.581148E+04
       5249.29686328        2.561994E+04
       5251.34227344        2.550900E+04
       5253.38768359        2.550286E+04
       5255.43553516        2.550533E+04
       5257.48241016        2.523536E+04
       5259.53026172        2.485622E+04
       5261.57957812        2.404710E+04
       5263.62889453        2.294483E+04
       5265.67918750        2.200446E+04
       5267.72996875        2.141921E+04
       5269.78123828        2.152586E+04
       5271.83348437        2.228135E+04
       5273.88573047        2.338862E+04
       5275.94041797        2.471302E+04
       5277.99461719        2.585139E+04
       5280.04979297        2.674501E+04
       5282.10496875        2.735100E+04
       5284.16160937        2.779041E+04
       5286.21873828        2.818257E+04
       5288.27635547        2.857497E+04
       5290.33543750        2.889945E+04
       5292.39403125        2.876070E+04
       5294.45457812        2.839634E+04
       5296.51414844        2.802647E+04
       5298.57616016        2.774694E+04
       5300.63817187        2.775347E+04
       5302.70018359        2.823353E+04
       5304.76414844        2.905636E+04
       5306.82811328        2.988223E+04
       5308.89354297        3.059122E+04
       5310.95799609        3.098302E+04
       5313.02391406        3.120986E+04
       5315.09129687        3.120053E+04
       5317.15867969        3.098860E+04
       5319.22801562        3.057966E+04
       5321.29539844        2.990868E+04
       5323.36522266        2.899877E+04
       5325.43602344        2.810653E+04
       5327.50682422        2.752255E+04
       5329.57908984        2.737413E+04
       5331.65086719        2.763831E+04
       5333.72459766        2.836753E+04
       5335.79832812        2.906273E+04
       5337.87205859        2.953941E+04
       5339.94823047        2.972473E+04
       5342.02342578        2.966501E+04
       5344.10008594        2.966672E+04
