# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5123.19280078        2.226551E+04
       5125.22893359        2.225212E+04
       5127.26897266        2.228125E+04
       5129.30657031        2.255919E+04
       5131.34660938        2.301182E+04
       5133.38567188        2.343197E+04
       5135.42766406        2.372057E+04
       5137.46916797        2.380830E+04
       5139.51067188        2.370720E+04
       5141.55412891        2.342939E+04
       5143.59953906        2.312221E+04
       5145.64348438        2.293679E+04
       5147.68694141        2.299129E+04
       5149.73430469        2.325904E+04
       5151.77922656        2.353504E+04
       5153.82756641        2.382027E+04
       5155.87590625        2.399338E+04
       5157.92473438        2.390543E+04
       5159.97307422        2.357316E+04
       5162.02336719        2.296071E+04
       5164.07317188        2.187414E+04
       5166.12444141        2.067439E+04
       5168.17717578        1.975225E+04
       5170.22991016        1.911054E+04
       5172.28362109        1.882055E+04
       5174.33684375        1.902341E+04
       5176.39201953        1.959188E+04
       5178.44719531        2.049985E+04
       5180.50432422        2.148098E+04
       5182.56145313        2.189539E+04
       5184.61907031        2.237927E+04
       5186.67619922        2.325531E+04
       5188.73528125        2.434101E+04
       5190.79533984        2.549955E+04
       5192.85637500        2.602270E+04
       5194.91741016        2.606568E+04
       5196.97893359        2.571819E+04
       5199.04094531        2.540095E+04
       5201.10442188        2.517751E+04
       5203.16789844        2.504949E+04
       5205.23235156        2.488948E+04
       5207.29875781        2.482652E+04
       5209.36467578        2.530360E+04
       5211.43059375        2.641703E+04
       5213.49748828        2.788789E+04
       5215.56584766        2.921178E+04
       5217.63469531        3.013134E+04
       5219.70403125        3.062004E+04
       5221.77483203        3.088897E+04
       5223.84563281        3.095368E+04
       5225.91594531        3.084029E+04
       5227.98869922        3.110520E+04
       5230.06047656        3.170045E+04
       5232.13469531        3.254053E+04
       5234.20989063        3.348947E+04
       5236.28508594        3.402639E+04
       5238.36028125        3.413015E+04
       5240.43596484        3.407342E+04
       5242.51360156        3.392809E+04
       5244.59075000        3.357641E+04
       5246.67033984        3.322073E+04
       5248.74846484        3.301532E+04
       5250.82854297        3.285287E+04
       5252.90862109        3.286473E+04
       5254.98967578        3.289498E+04
       5257.07170703        3.287509E+04
       5259.15520313        3.264059E+04
       5261.23918750        3.207325E+04
       5263.32219531        3.141019E+04
       5265.40715625        3.083720E+04
       5267.49162891        3.060092E+04
       5269.57805469        3.096193E+04
       5271.66496875        3.201955E+04
       5273.75334766        3.328797E+04
       5275.84075000        3.481842E+04
       5277.92961719        3.649416E+04
       5280.01897266        3.769958E+04
       5282.10930469        3.845215E+04
       5284.19963672        3.899085E+04
       5286.29143359        3.923339E+04
       5288.38420703        3.935045E+04
       5290.47746875        3.935603E+04
       5292.57073047        3.927847E+04
       5294.66448047        3.918697E+04
       5296.75969531        3.913058E+04
       5298.85588672        3.916425E+04
       5300.95207813        3.956524E+04
       5303.04875781        4.041393E+04
       5305.14787891        4.153243E+04
       5307.24602344        4.253335E+04
       5309.34514453        4.314402E+04
       5311.44475391        4.328369E+04
       5313.54631641        4.312304E+04
       5315.64739063        4.263564E+04
       5317.74895313        4.185423E+04
       5319.85198047        4.085478E+04
       5321.95549609        4.004367E+04
       5324.05950000        3.952130E+04
       5326.16448047        3.920650E+04
       5328.26994922        3.896020E+04
       5330.37639453        3.905698E+04
       5332.48332813        3.950518E+04
       5334.59026172        4.036817E+04
       5336.69817188        4.139968E+04
       5338.80754688        4.192930E+04
       5340.91789844        4.202041E+04
       5343.02776172        4.220235E+04
       5345.13908984        4.270702E+04
       5347.25090625        4.353966E+04
       5349.36272266        4.457618E+04
       5351.47600391        4.556624E+04
       5353.59075000        4.651350E+04
       5355.70451953        4.731266E+04
       5357.81975391        4.784495E+04
       5359.93547656        4.775074E+04
       5362.05217578        4.712071E+04
       5364.16936328        4.632200E+04
       5366.28752734        4.572393E+04
       5368.40617969        4.558639E+04
       5370.52580859        4.557377E+04
       5372.64592578        4.584458E+04
       5374.76604297        4.626574E+04
       5376.88713672        4.692082E+04
       5379.00969531        4.767234E+04
       5381.13323047        4.780730E+04
       5383.25627734        4.748164E+04
       5385.38127734        4.685221E+04
       5387.50578906        4.606956E+04
       5389.63127734        4.534554E+04
       5391.75725391        4.481957E+04
       5393.88420703        4.432613E+04
       5396.01262500        4.380436E+04
       5398.14055469        4.344213E+04
       5400.26946094        4.337802E+04
       5402.39934375        4.355282E+04
       5404.52971484        4.403951E+04
       5406.66057422        4.456233E+04
       5408.79338672        4.520039E+04
       5410.92571094        4.623584E+04
       5413.05901172        4.763925E+04
       5415.19280078        4.907905E+04
       5417.32707813        5.016581E+04
       5419.46233203        5.057705E+04
       5421.59856250        5.039272E+04
       5423.73528125        4.989378E+04
       5425.87346484        4.924725E+04
       5428.01116016        4.872974E+04
       5430.14983203        4.839742E+04
       5432.28948047        4.835666E+04
       5434.42912891        4.851111E+04
       5436.57073047        4.876812E+04
       5438.71233203        4.914431E+04
       5440.85442188        4.967592E+04
       5442.99700000        4.995231E+04
       5445.14104297        4.971908E+04
       5447.28508594        4.890254E+04
       5449.43108203        4.807609E+04
       5451.57658984        4.764150E+04
       5453.72307422        4.769889E+04
       5455.86955859        4.794463E+04
       5458.01701953        4.831896E+04
       5460.16594531        4.872013E+04
       5462.31535938        4.912863E+04
       5464.46526172        4.947993E+04
       5466.61662891        4.946786E+04
       5468.76750781        4.925357E+04
       5470.91936328        4.911634E+04
       5473.07219531        4.893057E+04
       5475.22502734        4.877237E+04
       5477.37932422        4.881787E+04
       5479.53410938        4.909462E+04
       5481.68938281        4.958627E+04
       5483.84563281        5.027735E+04
       5486.00237109        5.085545E+04
       5488.16008594        5.132076E+04
       5490.31877734        5.176631E+04
       5492.47746875        5.203865E+04
       5494.63762500        5.215937E+04
       5496.79729297        5.223321E+04
       5498.95793750        5.222655E+04
       5501.12053516        5.214018E+04
       5503.28215625        5.193748E+04
       5505.44524219        5.155752E+04
       5507.60979297        5.120625E+04
       5509.77434375        5.131780E+04
       5511.93889453        5.178520E+04
       5514.10491016        5.224956E+04
       5516.27141406        5.279632E+04
       5518.43840625        5.362629E+04
       5520.60637500        5.459959E+04
       5522.77532031        5.545220E+04
       5524.94475391        5.588100E+04
       5527.11467578        5.579792E+04
       5529.28557422        5.574774E+04
       5531.45696094        5.588359E+04
       5533.62834766        5.626409E+04
       5535.80217578        5.680133E+04
       5537.97502734        5.732086E+04
       5540.14885547        5.793591E+04
       5542.32414844        5.857717E+04
       5544.49944141        5.903730E+04
       5546.67619922        5.937384E+04
       5548.85393359        5.953997E+04
       5551.03117969        5.960300E+04
       5553.20940234        5.967431E+04
       5555.38811328        5.942193E+04
       5557.56780078        5.892387E+04
       5559.74797656        5.846880E+04
       5561.92961719        5.825957E+04
       5564.11223438        5.824405E+04
       5566.29387500        5.832648E+04
       5568.47746875        5.859745E+04
       5570.66155078        5.892825E+04
       5572.84612109        5.935041E+04
       5575.03117969        5.969470E+04
       5577.21770313        5.955049E+04
       5579.40373828        5.913109E+04
       5581.59123828        5.841408E+04
       5583.77971484        5.774025E+04
       5585.96819141        5.704453E+04
       5588.15764453        5.652989E+04
       5590.34758594        5.620693E+04
       5592.53899219        5.614179E+04
       5594.72991016        5.660237E+04
       5596.92278125        5.737171E+04
