# Aperture radius =  9.0 pixels (Full_aperture_diameter = 2 * Aperture_radius)
#          Lambda(A)                Flux
       5163.42967578        1.367927E+04
       5165.44383594        1.262134E+04
       5167.45750781        1.136524E+04
       5169.47264453        1.042685E+04
       5171.48778125        1.012004E+04
       5173.50340625        1.015902E+04
       5175.52098437        1.044944E+04
       5177.53856250        1.085926E+04
       5179.55760547        1.091888E+04
       5181.57616016        1.076070E+04
       5183.59569141        1.094349E+04
       5185.61717578        1.169360E+04
       5187.63817187        1.280833E+04
       5189.66014453        1.373910E+04
       5191.68260547        1.414439E+04
       5193.70506641        1.437534E+04
       5195.72899219        1.475479E+04
       5197.75389453        1.519581E+04
       5199.77928516        1.514148E+04
       5201.80614062        1.431019E+04
       5203.83201953        1.301252E+04
       5205.86033984        1.177584E+04
       5207.88866016        1.145471E+04
       5209.91795703        1.234446E+04
       5211.94627734        1.410555E+04
       5213.97850391        1.621277E+04
       5216.00828906        1.778784E+04
       5218.03905078        1.864844E+04
       5220.07176562        1.915262E+04
       5222.10545703        1.924168E+04
       5224.13866016        1.882029E+04
       5226.17381641        1.820232E+04
       5228.20946094        1.810709E+04
       5230.24412891        1.862659E+04
       5232.28172656        1.939837E+04
       5234.31785937        1.998525E+04
       5236.35643359        2.058747E+04
       5238.39500781        2.117250E+04
       5240.43504687        2.136472E+04
       5242.47362109        2.124740E+04
       5244.51463672        2.102056E+04
       5246.55614062        2.067095E+04
       5248.59862109        2.021463E+04
       5250.64207812        2.008218E+04
       5252.68553516        2.026368E+04
       5254.72996875        2.058361E+04
       5256.77489062        2.074707E+04
       5258.82030078        2.059657E+04
       5260.86619922        1.985844E+04
       5262.91453906        1.849727E+04
       5264.96190234        1.706431E+04
       5267.00975391        1.621414E+04
       5269.05907031        1.620638E+04
       5271.10887500        1.680290E+04
       5273.15916797        1.808080E+04
       5275.21092578        1.974730E+04
       5277.26366016        2.102468E+04
       5279.31639453        2.163969E+04
       5281.36912891        2.185201E+04
       5283.42332812        2.188944E+04
       5285.47801562        2.225688E+04
       5287.53367969        2.299160E+04
       5289.58934375        2.351748E+04
       5291.64598437        2.351075E+04
       5293.70408984        2.305152E+04
       5295.76268359        2.231506E+04
       5297.82078906        2.150947E+04
       5299.88133594        2.122732E+04
       5301.94139453        2.195875E+04
       5304.00194141        2.309546E+04
       5306.06444141        2.405836E+04
       5308.12694141        2.461245E+04
       5310.19041797        2.483655E+04
       5312.25389453        2.503019E+04
       5314.31883594        2.512857E+04
       5316.38280078        2.504785E+04
       5318.44920703        2.486644E+04
       5320.51610156        2.439737E+04
       5322.58348437        2.356468E+04
       5324.65184375        2.248663E+04
       5326.72069141        2.144579E+04
       5328.79051562        2.089220E+04
       5330.86033984        2.119465E+04
       5332.93114062        2.233884E+04
       5335.00340625        2.358711E+04
       5337.07518359        2.405252E+04
       5339.14793750        2.392710E+04
       5341.22166797        2.357787E+04
       5343.29588672        2.335839E+04
       5345.37010547        2.351582E+04
       5347.44627734        2.383216E+04
       5349.52244922        2.435713E+04
       5351.60008594        2.526696E+04
       5353.67821094        2.646851E+04
       5355.75682422        2.740519E+04
       5357.83592578        2.796196E+04
       5359.91600391        2.821147E+04
       5361.99705859        2.797613E+04
       5364.07860156        2.743374E+04
       5366.16014453        2.669708E+04
       5368.24266406        2.597087E+04
       5370.32616016        2.536793E+04
       5372.41063281        2.516494E+04
       5374.49559375        2.590668E+04
       5376.58104297        2.740154E+04
       5378.66698047        2.864321E+04
       5380.75438281        2.917233E+04
       5382.84178516        2.921619E+04
       5384.93065234        2.903119E+04
       5387.01951953        2.894035E+04
       5389.10936328        2.878983E+04
       5391.20018359        2.821139E+04
       5393.29051562        2.732531E+04
       5395.38182422        2.658238E+04
       5397.47508594        2.618961E+04
       5399.56834766        2.618093E+04
       5401.66209766        2.643229E+04
       5403.75731250        2.633256E+04
       5405.85301562        2.571932E+04
       5407.94871875        2.526011E+04
       5410.04588672        2.583190E+04
       5412.14256641        2.698722E+04
       5414.24119922        2.846902E+04
       5416.33983203        2.990969E+04
       5418.43895312        3.065782E+04
       5420.53953906        3.092765E+04
       5422.64061328        3.078873E+04
       5424.74266406        3.038468E+04
       5426.84471484        2.976997E+04
       5428.94774219        2.895717E+04
       5431.05125781        2.794786E+04
       5433.15575000        2.741483E+04
       5435.26073047        2.785578E+04
       5437.36717578        2.881493E+04
       5439.47362109        3.001535E+04
       5441.58055469        3.072091E+04
       5443.68846484        3.052487E+04
       5445.79735156        2.956125E+04
       5447.90623828        2.827979E+04
       5450.01658984        2.773866E+04
       5452.12742969        2.799875E+04
       5454.23924609        2.824070E+04
       5456.35106250        2.829413E+04
       5458.46385547        2.851455E+04
       5460.57762500        2.916602E+04
       5462.69139453        2.968778E+04
       5464.80711719        2.993645E+04
       5466.92235156        3.028097E+04
       5469.03807422        3.066513E+04
       5471.15575000        3.071910E+04
       5473.27391406        3.038282E+04
       5475.39207812        3.005695E+04
       5477.51121875        2.984697E+04
       5479.63084766        2.997340E+04
       5481.75145312        3.048425E+04
       5483.87254687        3.100963E+04
       5485.99461719        3.149449E+04
       5488.11766406        3.191743E+04
       5490.24071094        3.220422E+04
       5492.36473437        3.241642E+04
       5494.48924609        3.244844E+04
       5496.61522266        3.208161E+04
       5498.74168750        3.155151E+04
       5500.86766406        3.120892E+04
       5502.99608203        3.110105E+04
       5505.12401172        3.105114E+04
       5507.25242969        3.094014E+04
       5509.38231250        3.079358E+04
       5511.51268359        3.065270E+04
       5513.64403125        3.042525E+04
       5515.77537891        3.056270E+04
       5517.90770312        3.164000E+04
       5520.04100391        3.305241E+04
       5522.17528125        3.395159E+04
       5524.30955859        3.421195E+04
       5526.44530078        3.410894E+04
       5528.58104297        3.380693E+04
       5530.71776172        3.368094E+04
       5532.85496875        3.401988E+04
       5534.99315234        3.441674E+04
       5537.13182422        3.457884E+04
       5539.27147266        3.473643E+04
       5541.41112109        3.499096E+04
       5543.55223437        3.520811E+04
       5545.69383594        3.532696E+04
       5547.83494922        3.555093E+04
